,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-3187-5p,0.426950325,0.989079308,0.749223011,1.320140056,0.186788261,NA
hsa-miR-3188,1.901603139,0.381200324,0.703831721,0.541607194,0.588089135,0.799647905
hsa-miR-3189-5p,0.098946287,-0.104730149,0.520432705,-0.201236679,0.840513513,NA
hsa-miR-3190-3p,2.911325512,-1.482418002,0.704878496,-2.103083029,0.035458512,0.134814795
hsa-miR-3190-5p,0.847048099,-0.618940633,0.744411822,-0.831449225,0.405719901,NA
hsa-miR-3191-5p,0.663395068,0.311431216,0.689859668,0.451441402,0.651671449,NA
hsa-miR-3192-3p,0.50978255,0.61294109,0.749053471,0.818287497,0.413193044,NA
hsa-miR-3192-5p,0.972655109,-0.814833924,0.719626466,-1.132301217,0.257507819,NA
hsa-miR-3193,0.365867032,-0.108962392,0.731080342,-0.149042978,0.88151972,NA
hsa-miR-3194-3p,1.158030263,0.278563957,0.728289324,0.382490788,0.702097361,NA
hsa-miR-3194-5p,3.143382388,-1.213423192,0.57325103,-2.116739661,0.034281949,0.132447234
hsa-miR-3195,11.13380281,-0.24846323,0.636906312,-0.390109542,0.696455547,0.859683288
hsa-miR-3196,19.4800193,-0.256349527,0.586892738,-0.436791104,0.662262851,0.841861202
hsa-miR-3197,0.158771114,0.070058101,0.574599061,0.121925193,0.902958263,NA
hsa-miR-3198,0.481473347,0.588580782,0.737527086,0.798046328,0.424843606,NA
hsa-miR-3199,5.359948153,-1.085215194,0.469104146,-2.313377966,0.020701867,0.09302513
hsa-miR-32-3p,24.45309457,0.297008712,0.255609854,1.161961118,0.245251259,0.495710556
hsa-miR-32-5p,263.2921595,0.21465957,0.187893865,1.142451193,0.253266522,0.503168973
hsa-miR-3200-3p,351.7448355,0.248633764,0.199250809,1.247843187,0.21208849,0.453755712
hsa-miR-3200-5p,12.30011105,-0.325730184,0.30161197,-1.079964382,0.280158042,0.533319035
hsa-miR-3201,0.827991145,-0.519268158,0.748769313,-0.693495511,0.487998642,NA
hsa-miR-3202,1.676514735,0.101967278,0.682915613,0.149311681,0.881307698,0.959177921
hsa-miR-320a,3422.999109,-0.95636127,0.13680927,-6.990471242,2.74E-12,4.78E-10
hsa-miR-320b,14.91683809,-0.265365477,0.300324433,-0.883596031,0.376914323,0.639593672
hsa-miR-320c,4.728879897,-0.247031773,0.562619215,-0.439074541,0.660607526,0.841861202
hsa-miR-320d,0.466923135,-0.105618064,0.734317765,-0.143831553,0.885633487,NA
hsa-miR-320e,0.553985665,-0.55382393,0.753671785,-0.734834368,0.462440373,NA
hsa-miR-323a-3p,402.5810344,0.727223817,0.366689392,1.983214765,0.047343445,0.167533277
hsa-miR-323a-5p,2.428037204,0.464309872,0.585002859,0.793688209,0.427376966,0.681374406
hsa-miR-323b-3p,163.7659443,0.369215554,0.346987142,1.064061196,0.287300978,0.542967733
hsa-miR-323b-5p,0.179730725,-0.033409085,0.58606861,-0.057005416,0.954540881,NA
hsa-miR-324-3p,200.2874725,-0.309124019,0.128720871,-2.401506578,0.016327716,0.077353476
hsa-miR-324-5p,299.8826443,0.373131509,0.153235037,2.435027376,0.014890663,0.072581942
hsa-miR-325,0.512102062,0.681410288,0.752030235,0.906094271,0.364885958,NA
hsa-miR-326,398.142892,-0.989303613,0.220449384,-4.487667845,7.20E-06,0.000171344
hsa-miR-328-3p,918.8544691,-0.490293504,0.138335706,-3.544229611,0.000393762,0.004250196
hsa-miR-328-5p,0.292356429,0.7847167,0.74834268,1.048606101,0.294359447,NA
hsa-miR-329-3p,120.9438185,0.945560541,0.328624899,2.877324705,0.004010627,0.026409599
hsa-miR-329-5p,4.707960257,1.075862405,0.485281205,2.216987582,0.02662394,0.111948857
hsa-miR-330-3p,693.658885,0.308583423,0.248135191,1.243610073,0.213643107,0.454046465
hsa-miR-330-5p,1197.758737,0.080533554,0.245465488,0.328085039,0.742847366,0.878826206
hsa-miR-331-3p,1068.553059,-0.751584869,0.145880442,-5.152060548,2.58E-07,1.42E-05
hsa-miR-331-5p,22.79291821,-0.087485448,0.240437468,-0.363859464,0.715962956,0.866604873
hsa-miR-335-3p,425.3579269,-0.082363996,0.33883751,-0.243078152,0.807944856,0.927352691
hsa-miR-335-5p,840.445886,-0.597522107,0.249111332,-2.39861472,0.01645722,0.07761581
hsa-miR-337-3p,10.89301694,0.976041526,0.353474995,2.761274597,0.005757624,0.035882338
hsa-miR-337-5p,3.732834622,0.292568516,0.523229353,0.559159218,0.576053063,0.79209249
hsa-miR-338-3p,52420.52287,-0.029534408,0.292080823,-0.101117245,0.919457389,0.972354153
hsa-miR-338-5p,4482.387876,-1.004497536,0.329643919,-3.047219984,0.002309686,0.017150648
hsa-miR-339-3p,348.2283216,-0.230201141,0.17407148,-1.322451795,0.186017751,0.416969576
hsa-miR-339-5p,233.7440863,-0.527956811,0.245128015,-2.153800375,0.03125583,0.12381495
hsa-miR-33a-3p,17.56287171,0.234316298,0.327711217,0.715008476,0.474603806,0.714848663
hsa-miR-33a-5p,104.1757559,0.981535607,0.305553143,3.212323711,0.001316659,0.010769861
hsa-miR-33b-3p,1.663298134,0.205412141,0.701937413,0.292635977,0.769800411,0.8995324
hsa-miR-33b-5p,47.0827178,-0.602921323,0.366434426,-1.645373035,0.099892907,0.280396444
hsa-miR-340-3p,297.5271621,0.860468332,0.252324077,3.410171325,0.000649221,0.006159041
hsa-miR-340-5p,14535.34586,0.026975821,0.206179848,0.130836361,0.895904758,0.968020931
hsa-miR-342-3p,3048.939422,0.081553319,0.127749163,0.638386325,0.523222231,0.755144386
hsa-miR-342-5p,54.36968152,-0.519891212,0.246518842,-2.108930933,0.034950544,0.134041096
hsa-miR-345-3p,1.076544968,1.862277591,0.728103341,2.557710542,0.010536375,NA
hsa-miR-345-5p,478.6266689,0.015746949,0.171512666,0.091812163,0.92684728,0.972354153
hsa-miR-346,140.5672792,0.210225385,0.164398996,1.278751028,0.200984744,0.441352855
hsa-miR-34a-3p,17.7501141,-0.500102502,0.505199032,-0.989911836,0.322217214,0.581705356
hsa-miR-34a-5p,714.4082169,-1.156798513,0.348004458,-3.324091073,0.000887072,0.007804745
hsa-miR-34b-3p,70.37558375,0.394256999,0.471276519,0.83657255,0.40283288,0.664198466
hsa-miR-34b-5p,271.9669173,0.012568568,0.505246747,0.024876099,0.980153792,0.996102701
hsa-miR-34c-3p,46.42944774,0.263599055,0.461641451,0.57100387,0.567997019,0.790931656
hsa-miR-34c-5p,2342.461371,-0.020298265,0.506848029,-0.040048031,0.968054834,0.989798253
hsa-miR-3529-3p,0.499771072,0.782527537,0.734637825,1.065188194,0.286790775,NA
hsa-miR-3529-5p,0.521764911,0.217285077,0.731172345,0.297173544,0.766334019,NA
hsa-miR-3591-3p,0.192237089,-0.264391615,0.520432705,-0.508022674,0.611437442,NA
hsa-miR-3605-3p,30.65998146,0.154605098,0.229964233,0.672300625,0.501392332,0.735761905
hsa-miR-3605-5p,14.41629746,-0.096689526,0.288602945,-0.335026124,0.737605379,0.877116084
hsa-miR-3606-3p,0.482504638,-0.414325909,0.692731637,-0.598104499,0.549770208,NA
hsa-miR-3606-5p,0.564493871,-0.696884287,0.732171131,-0.951805196,0.341195786,NA
hsa-miR-3607-3p,73.04505206,0.56678772,0.36701032,1.544337284,0.122506645,0.323900144
hsa-miR-3607-5p,20.78733652,0.959170236,0.534145634,1.795709213,0.072540776,0.229155663
hsa-miR-3609,16.39529469,1.476821889,0.337278755,4.378638939,1.19E-05,0.000260491
hsa-miR-361-3p,657.5925552,-0.606851105,0.080247336,-7.562258589,3.96E-14,1.04E-11
hsa-miR-361-5p,1038.60574,0.155582689,0.11196555,1.38955856,0.164662967,0.389169585
hsa-miR-3610,0.363836553,0.147413337,0.732018839,0.201379157,0.840402111,NA
hsa-miR-3611,6.907816927,-0.464600767,0.46792318,-0.99289966,0.320758855,0.581705356
hsa-miR-3612,1.567303612,-0.82778764,0.751748175,-1.101150183,0.270831299,NA
hsa-miR-3613-3p,44.61781616,-0.288635593,0.184662737,-1.563041886,0.118042743,0.31608888
hsa-miR-3613-5p,281.7684309,0.301442351,0.215748242,1.397194936,0.162354959,0.385139343
hsa-miR-3614-3p,2.468724009,-0.553489955,0.729450399,-0.758776685,0.447986155,0.6971581
hsa-miR-3614-5p,5.122844759,-1.547156974,0.674185199,-2.294854554,0.021741461,0.09604772
hsa-miR-3615,191.6868051,-1.202284027,0.347732387,-3.457497981,0.000545216,0.005385297
hsa-miR-3616-3p,0.505373082,-0.090795401,0.748125154,-0.121363919,0.903402794,NA
hsa-miR-3616-5p,0.172240081,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-3617-3p,0.344850678,0.135502479,0.691875197,0.195848153,0.844729019,NA
hsa-miR-3617-5p,5.920836043,-0.333171516,0.62340718,-0.534436443,0.593039611,0.799651967
hsa-miR-3618,0.216608839,-0.144859294,0.592946366,-0.244304212,0.806995222,NA
hsa-miR-3619-3p,0.626747808,1.174467962,0.743069035,1.580563725,0.113977826,NA
hsa-miR-3619-5p,0.687463142,0.168687922,0.753276182,0.22393901,0.822804761,NA
hsa-miR-362-3p,14.18913613,-0.241236555,0.33735956,-0.715072533,0.474564225,0.714848663
hsa-miR-362-5p,74.728076,0.231745744,0.338293596,0.685043249,0.49331663,0.726979709
hsa-miR-3620-3p,13.42940036,-0.411634999,0.307290107,-1.339564763,0.180386886,0.413271487
hsa-miR-3620-5p,5.437371494,-0.860041528,0.487509577,-1.764153094,0.077706207,0.237890056
hsa-miR-3621,0.213012604,-0.048958406,0.670779039,-0.072987382,0.941816159,NA
hsa-miR-3622a-3p,22.13148167,-1.212510827,0.373647159,-3.245069039,0.001174222,0.009835279
hsa-miR-3622a-5p,14.87388488,0.245912881,0.31391133,0.783383262,0.433402082,0.685456163
hsa-miR-3622b-3p,5.597790617,0.943005505,0.427017534,2.208353125,0.027219667,0.113091234
hsa-miR-3622b-5p,0.548233667,0.546738128,0.75121381,0.727806279,0.46673218,NA
hsa-miR-363-3p,875.572851,0.600862607,0.237763201,2.527147201,0.011499329,0.060501497
hsa-miR-363-5p,0.346480329,0.316805969,0.746881791,0.4241715,0.671440744,NA
hsa-miR-3646,0.421899828,0.442934418,0.750679061,0.590044989,0.555160488,NA
hsa-miR-3648,8.266343744,2.522848848,0.544245098,4.635501276,3.56E-06,0.000112972
hsa-miR-3650,0.200394997,0.180284218,0.586231665,0.307530671,0.758439481,NA
hsa-miR-3651,1.594753924,0.83828009,0.71413553,1.173838935,0.240459546,NA
hsa-miR-3652,0.179959821,-0.344222348,0.520432705,-0.661415672,0.508345778,NA
hsa-miR-3653-3p,24.06072679,-0.068150585,0.430141245,-0.15843769,0.874111916,0.955318556
hsa-miR-3653-5p,30.93334274,-0.841914205,0.366144187,-2.299406177,0.021481886,0.095303111
hsa-miR-3654,0.63997174,-0.811331164,0.753426882,-1.076854548,0.281545251,NA
hsa-miR-3655,0.405071444,-0.180482612,0.642306069,-0.280991603,0.77871684,NA
hsa-miR-3656,8.416923361,-0.939589696,0.553670579,-1.697019368,0.089692999,0.261217217
hsa-miR-3658,0.226827801,-0.208828524,0.673709435,-0.309968235,0.756585113,NA
hsa-miR-3659,0.221404529,-0.368361889,0.673909593,-0.546604311,0.584650607,NA
hsa-miR-365a-3p,296.2719481,-0.766751011,0.214319416,-3.57760872,0.000346752,0.003903756
hsa-miR-365a-5p,2.513868036,-2.471866403,0.695194312,-3.555648196,0.000377048,0.004149444
hsa-miR-365b-3p,296.2719481,-0.766751011,0.214319416,-3.57760872,0.000346752,0.003903756
hsa-miR-365b-5p,7.041384167,-0.81564214,0.454156151,-1.795950881,0.072502329,0.229155663
hsa-miR-3660,0.437707953,-0.364860401,0.753301997,-0.484348114,0.628138835,NA
hsa-miR-3661,2.884334219,-0.960135212,0.593442413,-1.617907975,0.105682431,0.291182909
hsa-miR-3662,0.21586469,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-3663-3p,4.175750255,0.524839367,0.479876414,1.093696944,0.274087915,0.528489958
hsa-miR-3663-5p,0.366142257,-0.70021623,0.692346353,-1.011366966,0.311840826,NA
hsa-miR-3664-3p,0.215452934,-0.049126836,0.671499891,-0.073159857,0.94167891,NA
hsa-miR-3664-5p,0.156222237,-0.184560882,0.520432705,-0.354629676,0.722867041,NA
hsa-miR-3665,14.07757313,-0.295571228,0.466326162,-0.633829393,0.526192169,0.755144386
hsa-miR-3666,0.223504951,-0.38341537,0.603650138,-0.635161571,0.525323044,NA
hsa-miR-3667-3p,0.538852428,0.450331694,0.752130698,0.598741276,0.549345427,NA
hsa-miR-3667-5p,0.755270103,0.440254562,0.740799521,0.5942965,0.552313819,NA
hsa-miR-3668,0.197406992,0.255626912,0.668335558,0.382482884,0.702103222,NA
hsa-miR-367-3p,0.158771114,0.070058101,0.574599061,0.121925193,0.902958263,NA
hsa-miR-3670,0.249678818,0.402190032,0.677411055,0.59371637,0.552701832,NA
hsa-miR-3671,0.178336568,0.26771593,0.581478268,0.460405736,0.645225018,NA
hsa-miR-3672,0.12941882,0,0.520432705,0,1,NA
hsa-miR-3674,0.386790613,-0.08119867,0.684876895,-0.118559512,0.905624344,NA
hsa-miR-3675-3p,0.206534142,-0.14421321,0.59193469,-0.243630274,0.80751718,NA
hsa-miR-3675-5p,0.604503715,0.599912258,0.746867113,0.803238284,0.421837022,NA
hsa-miR-3677-3p,8.442644648,-0.124482909,0.430919529,-0.288877391,0.772675206,0.901143377
hsa-miR-3677-5p,0.8304723,1.276650099,0.743708142,1.716600945,0.08605211,NA
hsa-miR-3678-3p,0.327840001,-0.038984988,0.722743734,-0.053940265,0.956982757,NA
hsa-miR-3678-5p,0.817977652,0.587104578,0.723491835,0.811487497,0.41708577,NA
hsa-miR-3679-3p,1.051346992,0.161476523,0.744351492,0.21693585,0.828258339,NA
hsa-miR-3679-5p,1.833451486,-0.175210815,0.696684631,-0.251492293,0.80143352,0.923103296
hsa-miR-3680-5p,0.099473151,-0.104730149,0.520432705,-0.201236679,0.840513513,NA
hsa-miR-3681-3p,0.134179445,0.161315154,0.560322768,0.287896839,0.773425707,NA
hsa-miR-3681-5p,2.383278084,-0.69814926,0.665508815,-1.04904585,0.294157017,0.552930694
hsa-miR-3682-3p,0.51661092,-0.590589538,0.751821192,-0.785545212,0.432133973,NA
hsa-miR-3682-5p,0.203749932,0.18130318,0.592061625,0.306223495,0.759434485,NA
hsa-miR-3683,0.136139366,0.134762049,0.520432705,0.258942315,0.795679749,NA
hsa-miR-3684,0.835591926,0.078461461,0.738124305,0.106298438,0.915345571,NA
hsa-miR-3685,0.393482781,0.605405349,0.749214783,0.808053129,0.419059998,NA
hsa-miR-3686,0.228739829,-0.210953649,0.675815094,-0.312146993,0.754928814,NA
hsa-miR-3687,13.9704387,2.332513608,0.410096094,5.687724511,1.29E-08,1.04E-06
hsa-miR-3688-3p,3.596377556,-0.480460375,0.50267994,-0.95579779,0.339174405,0.597837714
hsa-miR-3688-5p,0.276979646,0.650965988,0.687693526,0.94659316,0.343846131,NA
hsa-miR-3689a-3p,0.136752093,0.134762049,0.520432705,0.258942315,0.795679749,NA
hsa-miR-3689a-5p,0.225087149,0.368300165,0.59578401,0.618177325,0.536458455,NA
hsa-miR-3689b-3p,0.178336568,0.26771593,0.581478268,0.460405736,0.645225018,NA
hsa-miR-3689b-5p,0.225087149,0.368300165,0.59578401,0.618177325,0.536458455,NA
hsa-miR-3689c,0.178336568,0.26771593,0.581478268,0.460405736,0.645225018,NA
hsa-miR-3689d,0.110074639,-0.104730149,0.520432705,-0.201236679,0.840513513,NA
hsa-miR-3689e,0.225087149,0.368300165,0.59578401,0.618177325,0.536458455,NA
hsa-miR-369-3p,131.7294019,1.180320287,0.261370394,4.515891286,6.31E-06,0.000165036
hsa-miR-369-5p,80.44989205,1.118504844,0.342141032,3.269133893,0.001078772,0.009257989
hsa-miR-3690,1.866659197,-1.067258169,0.674607455,-1.582043248,0.113639698,0.309040945
hsa-miR-3691-3p,0.684279123,0.131641251,0.748215002,0.175940405,0.860340762,NA
hsa-miR-3691-5p,1.951290985,0.17185915,0.659683514,0.260517576,0.794464559,0.921156582
hsa-miR-3692-3p,0.291967438,0.11168096,0.690733318,0.161684629,0.871554209,NA
hsa-miR-3692-5p,0.325680702,-0.046113787,0.682322818,-0.067583534,0.946117163,NA
hsa-miR-370-3p,98.15638764,0.031834234,0.423055214,0.075248415,0.940017064,0.978327898
hsa-miR-370-5p,4.036949736,0.718749414,0.499398619,1.439229878,0.150085403,0.366292346
hsa-miR-3714,0.094554891,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-371a-5p,0.499579514,0.501830782,0.751111698,0.668117383,0.504058667,NA
hsa-miR-371b-3p,0.447264422,0.12229674,0.695024549,0.175960316,0.860325119,NA
hsa-miR-371b-5p,4.759088615,-0.658010078,0.736310734,-0.893658135,NA,NA
hsa-miR-372-3p,0.225554305,-0.210596069,0.675463103,-0.31178027,0.755207519,NA
hsa-miR-373-3p,0.51615014,-1.4249831,0.752981093,-1.892455352,0.058430337,NA
hsa-miR-373-5p,0.79948802,-0.406077496,0.752098499,-0.539925949,0.589248101,NA
hsa-miR-374a-3p,1507.708289,0.386526446,0.093914584,4.115723337,3.86E-05,0.000651786
hsa-miR-374a-5p,648.6506463,0.237436717,0.14553374,1.631489141,0.102787149,0.285872303
hsa-miR-374b-3p,201.7316529,0.288499324,0.264741675,1.089738985,0.275828138,0.529893689
hsa-miR-374b-5p,1323.277987,-0.431526504,0.293378746,-1.470885368,0.14132212,0.350626209
hsa-miR-374c-3p,2.365688211,0.534478129,0.673893699,0.793119345,0.427708293,0.681374406
hsa-miR-374c-5p,91.41083222,-0.47037059,0.327495386,-1.43626631,0.150926577,0.366636023
hsa-miR-375,91.44516067,0.657988596,0.542285917,1.213361026,0.22499182,0.464813919
hsa-miR-376a-2-5p,1.334285904,1.301060779,0.716094064,1.816885303,0.069234678,NA
hsa-miR-376a-3p,11.13312057,1.403076827,0.371650111,3.775262764,0.000159839,0.00199228
hsa-miR-376a-5p,69.20610149,0.99278451,0.242977744,4.085907184,4.39E-05,0.000707207
hsa-miR-376b-3p,13.51451374,0.621406376,0.371801855,1.67133748,0.094655037,0.271517326
hsa-miR-376b-5p,0.211255911,-0.184560882,0.520432705,-0.354629676,0.722867041,NA
hsa-miR-376c-3p,48.78540604,0.287354302,0.337131593,0.85235056,0.394019552,0.657956094
hsa-miR-376c-5p,2.209896902,1.058869661,0.621511043,1.703702086,0.088436758,0.259364946
hsa-miR-377-3p,59.24168858,0.568349361,0.418699656,1.3574154,0.174649258,0.403659543
hsa-miR-377-5p,33.30547383,-0.057640198,0.359236956,-0.160451748,0.872525228,0.954996585
hsa-miR-378a-3p,2910.078702,-0.870909533,0.297518435,-2.927245612,0.003419787,0.023402072
hsa-miR-378a-5p,45.82479934,-0.515590091,0.351444198,-1.467061038,0.142359452,0.352364884
hsa-miR-378b,1.336647973,0.544484657,0.674516748,0.80722185,0.41953868,NA
hsa-miR-378c,13.98729268,-0.801190365,0.362057513,-2.212881482,0.026905818,0.112681564
hsa-miR-378d,7.801462348,-0.049011742,0.413455594,-0.118541732,0.905638431,0.972354153
hsa-miR-378e,0.152874826,0.134762049,0.520432705,0.258942315,0.795679749,NA
hsa-miR-378f,2.448609906,-0.815096317,0.697858271,-1.167996929,0.242808004,0.49289888
hsa-miR-378g,13.63880505,-0.314707535,0.382169688,-0.82347592,0.410237405,0.66903203
hsa-miR-378h,0.382409735,0.293441217,0.734628239,0.399441788,0.689567708,NA
hsa-miR-378i,3.442965059,-0.518690181,0.632561023,-0.819984415,0.412224992,0.66960921
hsa-miR-378j,0.807138485,-0.219993294,0.748845712,-0.29377653,0.768928671,NA
hsa-miR-379-3p,10.44712899,0.844285887,0.327829701,2.575379489,0.010013016,0.054602228
hsa-miR-379-5p,31.65746543,0.746985718,0.367470132,2.03277941,0.042074814,0.153827748
hsa-miR-380-3p,19.74387601,0.459875662,0.492571927,0.933621338,0.350499254,0.609589235
hsa-miR-380-5p,2.551648111,-0.44269061,0.589847901,-0.750516546,0.452943662,0.700414878
hsa-miR-381-3p,1758.305782,0.877772138,0.385235308,2.278535013,0.022694721,0.098187491
hsa-miR-381-5p,2.450289128,0.913645407,0.583717635,1.565218099,0.117531779,0.315689753
hsa-miR-382-3p,45.35679937,0.898934678,0.260587727,3.449643194,0.000561328,0.00549262
hsa-miR-382-5p,68.25488831,0.199627893,0.276872807,0.721009387,0.47090374,0.714749274
hsa-miR-383-3p,3.840422726,0.300765934,0.571198594,0.5265523,0.598504524,0.802348574
hsa-miR-383-5p,454.9695151,0.647768293,0.364443494,1.777417637,0.075499551,0.234563887
hsa-miR-384,4.488905693,2.633193816,0.616003067,4.274644002,1.91E-05,0.000400882
hsa-miR-3907,0.855292462,0.327525197,0.737698257,0.443982609,0.657055157,NA
hsa-miR-3908,0.26375952,0,0.616910463,0,1,NA
hsa-miR-3909,48.73441609,0.27843013,0.296515127,0.93900818,0.347726545,0.607795813
hsa-miR-3910,0.205648803,-0.184560882,0.520432705,-0.354629676,0.722867041,NA
hsa-miR-3911,1.238556537,0.643266585,0.703973318,0.913765577,0.360840038,NA
hsa-miR-3912-3p,21.22686611,0.157845678,0.311909221,0.506062879,0.612812509,0.80871607
hsa-miR-3912-5p,0.354545546,-0.28907655,0.731036391,-0.395433871,0.692522716,NA
hsa-miR-3913-3p,0.512358419,-0.118408839,0.746794835,-0.15855605,0.874018658,NA
hsa-miR-3913-5p,11.05526853,-1.407145724,0.370312041,-3.799891894,0.000144759,0.001826059
hsa-miR-3914,0.971248565,0.287335851,0.723844135,0.396958181,0.691398299,NA
hsa-miR-3915,0.492550059,0.428565681,0.752352806,0.569633924,0.568926014,NA
hsa-miR-3916,1.969329918,0.881065614,0.676407697,1.302565921,0.192722999,0.428409724
hsa-miR-3917,0.524774164,0.09977072,0.752372946,0.132608064,0.894503355,NA
hsa-miR-3918,0.32244279,-0.283925748,0.723074767,-0.392664439,0.694567339,NA
hsa-miR-3919,0.5897445,1.105458799,0.751958543,1.470106044,0.141533036,NA
hsa-miR-3920,0.596525941,0.112892869,0.753316432,0.149861153,0.880874161,NA
hsa-miR-3921,0.147171204,-0.024899416,0.520432705,-0.047843681,0.961840824,NA
hsa-miR-3922-3p,3.048049347,-0.581635051,0.608195764,-0.956328678,0.338906206,0.597837714
hsa-miR-3922-5p,0.281549924,0,0.618674423,0,1,NA
hsa-miR-3923,0.55950462,0.684695191,0.752575695,0.909802424,0.362926716,NA
hsa-miR-3925-3p,0.230255068,0.109916098,0.674440167,0.162973832,0.870539038,NA
hsa-miR-3925-5p,0.259190458,0.437291068,0.60433685,0.723588291,0.469318532,NA
hsa-miR-3926,0.385515747,-0.286178689,0.746917592,-0.38314627,0.701611314,NA
hsa-miR-3928-3p,7.986548112,-0.399003753,0.41805018,-0.954439854,0.339861041,0.598041193
hsa-miR-3928-5p,0.309656913,-0.22847668,0.691948152,-0.330193353,0.741253869,NA
hsa-miR-3929,24.70076874,1.560741023,0.322238712,4.843431168,1.28E-06,4.86E-05
hsa-miR-3934-3p,0.876190361,-0.27964008,0.715861532,-0.390634316,0.696067557,NA
hsa-miR-3934-5p,1.803343579,0.980006217,0.663480233,1.477069199,0.139657089,0.347318223
hsa-miR-3935,0.363309689,0.146075519,0.732064842,0.199539044,0.841841105,NA
hsa-miR-3936,1.041700567,-0.917853982,0.741323476,-1.238128848,0.215668289,NA
hsa-miR-3937,2.324922548,-0.583001311,0.585160058,-0.996310842,0.319099137,0.581705356
hsa-miR-3938,3.335678135,0.402579212,0.532856074,0.7555121,0.449941775,0.698945161
hsa-miR-3939,0.453569232,-0.816340282,0.74762615,-1.091909749,0.274872772,NA
hsa-miR-3940-3p,3.171023937,-0.443055344,0.57025692,-0.776939881,0.43719424,0.686173782
hsa-miR-3940-5p,0.365047611,0.509245728,0.692124436,0.735771923,0.461869511,NA
hsa-miR-3941,0.34878131,0.144883254,0.730849923,0.198239405,0.842857759,NA
hsa-miR-3942-3p,0.52008477,0.85428948,0.751663128,1.136532375,0.255733824,NA
hsa-miR-3942-5p,1.357123426,0.545978862,0.667558636,0.817874016,0.413429129,NA
hsa-miR-3943,24.04542305,-0.155482698,0.418318085,-0.371685335,0.710127145,0.863534403
hsa-miR-3944-3p,2.101970558,0.249733844,0.636753849,0.392198406,0.694911622,0.858999372
hsa-miR-3944-5p,0.344020178,0.101641943,0.693703884,0.146520649,0.88351039,NA
hsa-miR-3960,110.7167598,-0.19547076,0.347061763,-0.563216063,0.573287766,0.790931656
hsa-miR-3972,0.170908788,-0.241295501,0.580201967,-0.415881907,0.677496419,NA
hsa-miR-3974,0.089474647,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-3975,0.094469028,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-3976,13.03441371,-0.400716868,0.670426004,-0.597704842,0.550036894,0.777177636
hsa-miR-3978,0.103110595,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-409-3p,628.5334602,0.129490324,0.334135309,0.387538583,0.698357527,0.859683288
hsa-miR-409-5p,14.11757934,0.530858036,0.342172562,1.551433675,0.12079779,0.321003265
hsa-miR-410-3p,1945.700769,1.730849725,0.370458568,4.672181661,2.98E-06,0.000100653
hsa-miR-410-5p,0.564269632,0.441250899,0.752819783,0.58613085,0.557787586,NA
hsa-miR-411-3p,21.82342682,0.830877846,0.418909071,1.98343245,0.047319145,0.167533277
hsa-miR-411-5p,1345.61325,1.262693401,0.399586689,3.159998658,0.001577699,0.012443884
hsa-miR-412-3p,0.330912806,-0.212132174,0.684928724,-0.309714232,0.756778279,NA
hsa-miR-412-5p,13.56533947,1.055833831,0.669949175,1.575990941,0.115027891,0.311199488
hsa-miR-421,2734.453529,0.524297864,0.108112976,4.849536886,1.24E-06,4.86E-05
hsa-miR-422a,0.46873773,0.038779874,0.7490323,0.0517733,0.958709331,NA
hsa-miR-423-3p,3415.275379,-0.155812637,0.180681642,-0.862360089,0.388489396,0.652732757
hsa-miR-423-5p,1027.720513,-0.971435544,0.17484114,-5.556103914,2.76E-08,2.06E-06
hsa-miR-424-3p,17.50894445,0.017565988,0.35616166,0.049320267,0.960664069,0.987061119
hsa-miR-424-5p,304.594061,-0.321667801,0.369540635,-0.870453125,0.384052825,0.648553722
hsa-miR-425-3p,139.1845724,-0.200131107,0.115722219,-1.72940952,0.083735827,0.249824002
hsa-miR-425-5p,790.7539015,0.125431229,0.14556248,0.861700272,0.388852476,0.652732757
hsa-miR-4251,0.10062381,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-4252,0.188938056,0.209659932,0.520696468,0.402652879,0.687203603,NA
hsa-miR-4254,1.685294629,0.186501369,0.673075729,0.277088239,0.781712352,0.909392036
hsa-miR-4255,0.20392061,-0.370240324,0.595740246,-0.621479456,0.534284208,NA
hsa-miR-4256,0.12365957,-0.104730149,0.520432705,-0.201236679,0.840513513,NA
hsa-miR-4257,0.147267718,0.134762049,0.520432705,0.258942315,0.795679749,NA
hsa-miR-4258,0.322451239,-0.70430293,0.728132058,-0.967273618,0.333407269,NA
hsa-miR-4259,5.897289126,-0.137984592,0.525828946,-0.262413457,0.793002699,0.92048096
hsa-miR-4260,0.100076135,0.054931317,0.520432705,0.105549317,0.915939939,NA
hsa-miR-4261,0.544809655,0.496857029,0.749960158,0.662511233,0.507643638,NA
hsa-miR-4265,0.415509283,0.804973728,0.741353136,1.085816851,0.27756003,NA
hsa-miR-4267,0.28238423,0.114695798,0.679568387,0.168777419,0.865971721,NA
hsa-miR-4268,0.199022423,0.10468401,0.665775172,0.157236278,0.875058639,NA
