,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-3124-5p,6.911749676,-0.230488295,0.381147229,-0.604722473,0.545363414,0.773706631
hsa-miR-3125,2.292704069,-0.058917907,0.628539085,-0.093737857,0.925317397,0.972354153
hsa-miR-3126-3p,0.241536549,0.111145582,0.676748328,0.164234735,0.869546358,NA
hsa-miR-3126-5p,0.61201674,-0.241156988,0.746545077,-0.323030712,0.746671983,NA
hsa-miR-3127-3p,0.827729557,-0.180797338,0.742782621,-0.24340545,0.807691322,NA
hsa-miR-3127-5p,5.614099781,-0.615353729,0.448952561,-1.370643097,0.170486241,0.39788691
hsa-miR-3128,0.90623347,-0.221320465,0.741126235,-0.298627217,0.765224496,NA
hsa-miR-3129-3p,1.251485534,-0.815661758,0.711958853,-1.145658565,0.251936455,NA
hsa-miR-3129-5p,0.242375777,-0.21461444,0.679365251,-0.315904353,0.752075107,NA
hsa-miR-3130-3p,0.759878273,0.799667046,0.74820296,1.068783589,0.285167196,NA
hsa-miR-3130-5p,1.205523798,-0.361800047,0.654177832,-0.553060695,0.580221849,NA
hsa-miR-3131,0.394792314,-0.330947411,0.752032974,-0.440070345,0.659886159,NA
hsa-miR-3132,0.211528596,-0.143589692,0.590954052,-0.242979453,0.808021314,NA
hsa-miR-3133,1.252773872,0.702880445,0.667090774,1.053650377,0.292043016,NA
hsa-miR-3134,0.724839549,-0.06163318,0.747771157,-0.082422516,0.934310732,NA
hsa-miR-3135a,2.24150169,1.27503174,0.59064528,2.158709776,0.03087269,0.122903826
hsa-miR-3135b,1445.061618,-0.035041073,0.299711715,-0.116915926,0.906926678,0.972354153
hsa-miR-3136-3p,0.556959092,-0.34334011,0.750405132,-0.457539661,0.647283202,NA
hsa-miR-3136-5p,1.085390702,0.877746481,0.714150589,1.229077584,0.219042719,NA
hsa-miR-3137,0.259906317,-0.161487873,0.617493736,-0.261521476,0.79369039,NA
hsa-miR-3138,0.296590698,0.689758009,0.728792581,0.946439394,0.34392452,NA
hsa-miR-3139,8.149794678,1.180176125,0.377480409,3.126456621,0.001769266,0.013620747
hsa-miR-3140-3p,0.390472724,0.067665913,0.697414811,0.097023912,0.922707405,NA
