"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"202.0449@0.92088914",1.21942456132729e-11,0,0,0,0.3371,0.0248,0.2124,1.63402891217856e-08
"202.1205@12.978706",0.00584499333865374,0.0759,0.0039,0.008,0.0207,0.049,0.5021,0.013365684426273
"203.079@2.0323107",3.70862264668093e-05,0.0056,2e-04,3e-04,2e-04,2e-04,0.6299,0.000290617213248681
"203.1153@8.199586",0.0134918572203478,0.654,0.0216,0.0536,0.0086,0.0248,0.4396,0.0263928301828702
"204.0896@3.6574461",0.000691637662657896,0.7035,0.0048,0.0214,5e-04,0.0032,0.2274,0.00272530459604444
"206.0321@5.351483",0.0185793995326263,0.3775,0.0507,0.1138,0.0077,0.0154,0.5624,0.0348201333898172
"216.1367@14.900593",0.000416600574138948,0.0482,1e-04,8e-04,0.0079,0.1043,0.1609,0.00184239197804023
"216.172@19.450027",0.0128155558357723,0.7823,0.0352,0.0088,0.0431,0.0092,0.6498,0.025180124369406
"218.088@0.72335726",0.000272796343462001,0.0032,5e-04,0.001,7e-04,0.015,0.0912,0.00136737361356054
"218.0902@1.0692252",6.20280474908919e-05,0.0026,1e-04,3e-04,7e-04,0.0036,0.2601,0.000449284235879973
"219.0738@1.5894065",0.204643613338273,0.4059,0.4827,0.9021,0.0419,0.1484,0.3849,0.263675424878159
"219.1118@3.926877",0.0847280905575489,0.6875,0.0322,0.0647,0.0721,0.1459,0.589,0.125039252584929
"221.0718@4.7789974",0.0390087104215892,0.8945,0.1127,0.2303,0.0108,0.0308,0.4438,0.0662505348097965
"222.1002@3.648265",6.44337231802128e-05,0.0295,0,1e-04,0.0017,0.0081,0.3762,0.000461717588564092
"222.1406@8.516533",0.003577403833673,0.472,0.0127,0.0236,0.0024,0.0039,0.6021,0.00916581479373197
"222.1616@20.288889",0.00320206713975635,0.0099,0.0031,6e-04,0.5557,0.3294,0.7511,0.00842980347205011
"223.0385@2.502416",0.000548371605740949,0.1651,0.0055,0.0071,6e-04,5e-04,0.7589,0.0022845235738654
"225.1@17.208097",0.379330296161332,0.6339,0.6291,0.2315,0.3501,0.4813,0.1037,0.433705287419953
"226.1926@22.155014",0.077054387991784,0.2467,0.048,0.0357,0.158,0.0877,0.8526,0.115182341091569
"227.9412@5.351372",0.0127688333535309,0.5234,0.1813,0.0909,0.0194,0.0037,0.5824,0.0251251640142898
"228.0018@0.7060889",8.70985197298779e-08,2e-04,0,0,0,0,0.5556,3.33462904108675e-06
"228.1147@8.5176935",0.00384577762731675,0.276,0.036,0.0296,0.003,0.0018,0.8955,0.0096937448136045
"228.2085@22.477146",0.0164360199151148,0.8546,0.0244,0.0242,0.02,0.0161,0.8703,0.0313735992681678
"229.1677@14.206556",0.427186125680236,0.6195,0.3219,0.7369,0.1336,0.8433,0.1606,0.478220057152478
"230.1525@16.535658",0.00698271359807479,0.3465,0.0588,0.065,0.003,0.0027,0.8442,0.01533907577282
"232.1038@0.70569235",0.00783788670004926,0.1625,0.0025,0.0222,0.0117,0.1726,0.1702,0.0168044290849056
"233.0665@2.5125003",0.000454268593831353,0.2866,0.0057,0.0105,3e-04,5e-04,0.4591,0.00197636336277277
