"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"329.0649@0.7160001",0.0988445989069273,0.0372,0.0327,0.088,0.8845,0.2974,0.2848,0.142882160232236
"329.9627@3.6612904",0.000587726905359021,0.8586,0.0078,0.0272,4e-04,0.0016,0.2768,0.00240842218098192
"330.1975@14.5367565",0.6456104210575,0.2584,0.3829,0.5369,0.6923,0.3985,0.6798,0.67905648682657
"330.2554@22.293785",1.34841594662261e-05,0.1849,1e-04,0,0.0018,1e-04,0.5021,0.000135921064645143
"330.2555@22.823952",0.222098142767135,0.0626,0.3371,0.1982,0.1885,0.2986,0.67,0.281637185918516
"330.2559@22.197086",0.000389941913020997,0.0137,5e-04,1e-04,0.1112,0.0254,0.5987,0.00174174054482712
"330.256@22.880075",0.0135513907912519,0.0057,0.0245,0.0033,0.3594,0.796,0.227,0.0264706467350985
"331.0767@1.844886",0.346035609976192,0.108,0.3408,0.1209,0.4553,0.869,0.5254,0.401113942359946
"332.1629@15.856548",0.00146878023401043,0.5413,0.0041,0.0157,9e-04,0.0033,0.4012,0.00477710076110187
"332.2713@22.419544",3.11014418552524e-07,0.0132,0,0,0.0016,1e-04,0.5851,7.7177652011182e-06
"332.2721@22.98814",1.42137345393589e-06,0,0,0,0.4277,0.093,0.4215,2.21469817241174e-05
"333.9292@0.593089",0.041108860211038,0.6187,0.277,0.0266,0.4404,0.0176,0.119,0.0690881861125393
"334.1009@1.3770411",0.4727128795747,0.5549,0.1679,0.3013,0.279,0.5404,0.562,0.519635158843394
"334.2865@23.174112",1.85409805264491e-06,1e-04,0,0,0.2143,0.0356,0.4385,2.70556871105549e-05
"335.2585@22.480238",7.12024084137397e-08,6e-04,0,0,2e-04,2e-04,0.7438,3.33462904108675e-06
"336.0683@1.8429645",0.254966107049743,0.1119,0.1436,0.0605,0.8327,0.6147,0.4829,0.31517950502459
"336.2273@22.795912",0.388752717782693,0.1721,0.6361,0.1405,0.3917,0.9753,0.3512,0.4425901799735
"336.3025@23.395824",7.35209840592166e-05,0.008,2e-04,0,0.1454,0.0206,0.4442,0.000502643462445664
"338.2438@23.032907",1.18824970686271e-05,0.0013,0,0,0.0494,0.0395,0.9188,0.000125374378519373
"338.3182@23.681545",0.0018619265633335,0.1733,0.0116,3e-04,0.1803,0.0108,0.2494,0.00567041271560658
"340.2067@24.61218",0.000927305738181783,0.011,0.0115,1e-04,0.9266,0.0877,0.1262,0.00339796555635704
"340.2158@22.947289",0.506980257311417,0.3743,0.7673,0.6679,0.2404,0.163,0.9164,0.55226174328788
"340.2163@22.732103",0.206538282643235,0.1023,0.3857,0.0575,0.3664,0.7832,0.2275,0.265835360394965
"340.2705@24.597988",0.405900405763582,0.213,0.1117,0.267,0.6237,0.9085,0.564,0.458992863901434
"342.2309@23.20727",1.45597529099817e-06,4e-04,0,0,0.0418,0.0208,0.9253,2.24253665510063e-05
"342.235@22.8695",0.000234868164158075,0.008,0.0413,0,0.4919,0.026,0.0073,0.00122856397555372
"342.2739@23.24099",0.229818170919651,0.4538,0.0922,0.4099,0.1246,0.9142,0.1354,0.288848423606267
"343.0762@1.0215716",0.00548530060591146,0.0385,0.0032,0.0122,0.0069,0.125,0.0993,0.012672935882623
"343.1789@22.1599",0.905759968665982,0.9722,0.6437,0.5567,0.6677,0.5815,0.9405,0.913434873266924
"343.2713@22.335056",3.91620816109217e-06,0.0447,0,0,4e-04,3e-04,0.7944,5.04588359217645e-05
"344.1466@9.969796",0.338911799610534,0.6255,0.1316,0.9649,0.3284,0.5759,0.0998,0.394562824915826
"345.2875@22.479385",1.17528465404249e-07,1e-04,0,0,7e-04,0.0014,0.7678,4.03815752927418e-06
"346.1414@6.638155",0.00171155912083776,0.6794,0.0043,0.0106,0.0016,0.0037,0.5049,0.00527238901591401
"346.1418@7.4191766",0.00152108272306339,0.6124,0.0048,0.0102,0.0014,0.0027,0.5486,0.004850660740362
"346.1426@8.516493",0.00232315035574682,0.5294,0.0074,0.0172,0.0016,0.0035,0.5289,0.00672420891928316
"346.178@15.045247",0.00179616010996575,0.8974,0.0028,0.0082,0.002,0.0059,0.4585,0.00552030859484886
"346.9809@3.2404969",0.432023734139347,0.6855,0.1684,0.394,0.2307,0.5974,0.3601,0.483231889604946
"347.0632@0.9824738",0.00398624763616495,0.4302,0.0071,0.0058,0.0142,0.0082,0.9636,0.00991015182274775
"348.1572@11.934002",0.00132058860651318,0.8881,0.0026,0.0056,0.0019,0.0039,0.5368,0.00440196202171061
"348.1574@8.92918",0.00334364730732584,0.6189,0.0081,0.018,0.0025,0.0052,0.5438,0.00866164137528461
"348.2276@22.761269",0.000599798705962606,0.0384,0.0014,2e-04,0.0822,0.0082,0.3998,0.00242818811477309
"348.2664@22.560614",0.00477256861956232,0.0483,0.005,0.0016,0.1495,0.043,0.7055,0.0113190123012629
"349.9029@0.5965365",0.000235627568445751,0.001,6e-04,0,0.7443,0.1367,0.2733,0.00122856397555372
"350.0656@0.69609535",0.214482082031416,0.8034,0.1236,0.7511,0.0949,0.9415,0.0768,0.274242356795895
"350.2431@22.948183",0.125663672630354,0.2767,0.0427,0.0409,0.2795,0.3023,0.8725,0.175588447679535
"351.9032@4.0377855",0.128270854989448,0.2284,0.0858,0.0437,0.4532,0.1593,0.5542,0.178858424230864
"352.1392@2.5063102",0.000852627953910723,0.4243,0.0108,0.016,6e-04,6e-04,0.643,0.00319530367437852
"352.2587@23.208368",3.17030362961823e-07,0,0,0,0.0646,0.032,0.8965,7.72401247943351e-06
"352.3335@23.91493",0.0611908353480185,0.4063,0.7168,0.0706,0.2648,0.0103,0.193,0.0954548537442896
"354.208@22.155668",0.253560892265252,0.5045,0.1367,0.2005,0.1366,0.2346,0.628,0.313731851925612
"354.3497@24.418123",0.0625453672703541,0.0246,0.0498,0.0135,0.6009,0.6845,0.3493,0.097454409467761
"355.1551@22.59141",0.00207522519529235,0.0326,0.0017,4e-04,0.1947,0.1049,0.8414,0.00617955947042611
"356.112@0.67042863",0.00226303463460908,9e-04,0.0021,0.0086,0.4806,0.0546,0.2487,0.0065780182437661
"357.1567@21.571531",0.306399551547368,0.2125,0.3277,0.0655,0.8192,0.5743,0.4381,0.364308251174333
"357.2705@22.898952",0.00200495774024267,0.0282,0.0054,4e-04,0.3368,0.0382,0.3313,0.00598361552767301
"358.0628@1.3839707",0.00711001747566053,0.2145,0.016,0.6817,7e-04,0.0782,0.0233,0.0155676853225247
"358.2869@23.105532",0.099949004385218,0.0257,0.0624,0.0285,0.5206,0.8686,0.598,0.144322915814862
"359.2491@22.637623",1.87043409205501e-07,0,0,0,0.0171,0.0162,0.9213,5.56973707411935e-06
"360.3027@23.28126",1.63753236159803e-06,0,0,0,0.1992,0.0626,0.6393,2.46277230684624e-05
"361.0422@20.896463",0.176160894888432,0.5552,0.0513,0.8454,0.1457,0.658,0.0558,0.232109733677974
"361.2742@22.596155",3.75329904955812e-06,4e-04,0,0,0.0363,0.0152,0.8775,4.88293274408532e-05
"362.0516@0.6427779",0.108151884355403,0.0389,0.0255,0.0558,0.7141,0.6782,0.4352,0.154667582749456
"362.1367@6.353213",0.00243940163596612,0.4317,0.0099,0.0218,0.0015,0.003,0.5487,0.00694012355030701
"362.1986@22.736721",0.31564458193476,0.8971,0.1704,0.3195,0.1163,0.2243,0.5983,0.373642879675422
"362.3181@23.52436",0.000693529005411309,0.0815,0.0023,1e-04,0.1128,0.0134,0.4249,0.00272530459604444
"364.2151@22.7219",0.0278311398244151,0.0251,0.0455,0.0041,0.7898,0.4169,0.2944,0.0492001680273301
"364.2151@22.7219 - 22.721043",0.318630996756126,0.2431,0.5405,0.9109,0.0737,0.2297,0.4291,0.37651281803634
"364.3339@23.811756",0.045105074972152,0.2235,0.095,0.0072,0.5931,0.1019,0.3006,0.0747105073704372
"365.8765@0.5991483",1.62976504070045e-07,0,0,0,0.9791,0.7008,0.6936,5.07880268497349e-06
"366.0574@1.8420321",0.465604847350243,0.1443,0.3352,0.1826,0.4871,0.7846,0.6306,0.513506580616729
"366.1423@2.3054814",0.00745949715943406,0.0016,0.0085,0.0064,0.3442,0.3267,0.9466,0.0162005286768908
"366.3495@24.183619",0.720740749502794,0.6072,0.7226,0.7883,0.3202,0.3306,0.8984,0.748676437468019
"368.2486@22.935125",0.000152092460982911,0.0034,9e-04,0,0.5199,0.0404,0.1652,0.000897814527388109
"368.2508@22.64407",0.10934086029635,0.2735,0.244,0.3515,0.9074,0.0426,0.0399,0.156034880508104
"368.2539@22.737356",0.817745090428616,0.4004,0.7258,0.9341,0.6444,0.4178,0.7707,0.839676951091452
"368.3648@24.779997",0.00031042716904095,0.0034,6e-04,1e-04,0.2583,0.028,0.3194,0.00149583589363352
"370.1267@0.6705834",0.0357813914780679,0.0077,0.0161,0.0219,0.3878,0.1864,0.6869,0.061470595616168
"370.3441@23.734451",0.0168744078830051,0.5532,0.0552,0.0299,0.0173,0.0079,0.9256,0.0320733426428749
"372.0778@0.75600016",3.17427022126227e-05,0.0019,5e-04,0,0.3721,0.0028,0.0387,0.000257789217969178
"372.228@22.7369",0.334037351520221,0.323,0.1822,0.0826,0.6772,0.4065,0.7212,0.390925808766022
"373.112@1.1755188",0.0380807610572091,0.9135,0.1542,0.3144,0.0075,0.0305,0.3406,0.0649213992578375
"375.14@22.873764",0.085057350054994,0.1627,0.0217,0.4243,0.2261,0.3997,0.0443,0.12538707268833
"376.1386@7.655774",6.04550092042633e-05,0.0276,0,2e-04,0.0012,0.0309,0.0891,0.0004402701757267
"376.2592@23.05893",2.1686979889135e-05,6e-04,0,0,0.148,0.1514,0.8735,0.000194705681249241
"376.2822@22.558208",0.206716750396682,0.0768,0.0861,0.0684,0.9782,0.9735,0.9978,0.265835360394965
"378.0273@0.6432858",0.181477786509882,0.238,0.1543,0.0376,0.7694,0.2513,0.398,0.238178485723058
"378.2797@22.26485",0.438014283556664,0.7797,0.5733,0.2191,0.4153,0.1359,0.5658,0.488708692727669
"378.28@22.814682",0.197038515599245,0.1808,0.5242,0.7066,0.0386,0.2319,0.2562,0.256092736084373
"379.1043@2.5393996",0.00262593265122724,0.0088,0.001,0.0032,0.0509,0.2825,0.255,0.00734603288652296
"379.9508@3.2389374",0.381818601893324,0.6955,0.1663,0.3869,0.1854,0.5339,0.3288,0.436178112989816
"380.1639@22.184649",0.00388375434690003,0.1917,0.0116,0.0015,0.1034,0.0099,0.4302,0.00969888618583573
"380.1657@22.753197",0.0409622003871728,0.1742,0.0144,0.0136,0.1724,0.1784,0.8699,0.0690432056840397
"381.9494@3.1731966",0.355676877865831,0.6712,0.1524,0.3831,0.1776,0.5603,0.2927,0.410868117534667
"382.0739@1.8477308",0.269140837552747,0.7208,0.271,0.8223,0.0593,0.4125,0.2169,0.328759090538451
"382.1189@8.517757",0.00120381947764703,0.6589,0.0035,0.0084,0.0012,0.0027,0.5121,0.00409163174821703
"382.1817@22.948225",0.182675554389277,0.1499,0.1764,0.033,0.9716,0.5016,0.4966,0.239398843553743
"382.2623@22.965197",0.00457561357822556,0.0744,0.0069,7e-04,0.2596,0.0674,0.5469,0.0109487896336112
"382.2669@22.873768",0.00152397624753164,0.2719,0.0593,4e-04,0.365,0.004,0.0457,0.004850660740362
"382.2671@23.025818",0.0113787327221057,0.2803,0.0643,0.0025,0.3594,0.0179,0.158,0.0230324801323589
"382.3442@23.580725",0.000131752625137538,0.4643,0.001,1e-04,0.0061,7e-04,0.5882,0.000802493262201367
"383.1077@3.5353713",0.0691485382600765,0.3825,0.476,0.841,0.0126,0.0406,0.3343,0.105775161265414
"384.1071@0.6812001",0.00155832861588601,0.0138,6e-04,0.0065,0.0159,0.5136,0.0414,0.0049038828531278
"384.1216@1.5680593",0.000221625789140312,0.044,1e-04,7e-04,0.0047,0.0483,0.1871,0.00116920691908668
"384.134@8.929365",0.00350876291388336,0.8161,0.0053,0.0146,0.0031,0.0082,0.4827,0.00904181212423788
"384.1805@22.610117",3.45577795649588e-05,0.0037,0,0,0.05,0.0234,0.8814,0.000275639432244314
"384.1966@23.20796",1.22251817280539e-06,2e-04,0,0,0.2102,0.0087,0.1715,1.99777359946246e-05
"384.3596@23.974104",0.00212317179944976,0.6648,0.0103,0.0066,0.0037,0.0021,0.9256,0.00628333765453209
"385.2664@22.960012",0.017884702170108,0.0082,0.0063,0.0126,0.8411,0.6967,0.5815,0.0336594113875627
"385.9428@0.5862858",6.41716167204542e-07,0,0,0,0.8316,0.3359,0.4843,1.2645583294913e-05
"386.1971@22.87901",0.0172220710559703,0.0096,0.0158,0.0064,0.4545,0.4258,0.142,0.0325494713892809
"386.3184@23.411345",0.017178483376839,0.0097,0.0038,0.0123,0.581,0.792,0.4059,0.0325129487640739
"388.037@1.8393189",0.332198192121817,0.4957,0.444,0.5519,0.1118,0.1302,0.8001,0.389453698550512
"388.1633@21.887547",0.622972148245658,0.392,0.5083,0.1983,0.8696,0.6943,0.5837,0.660952239627222
"388.1634@22.24062",0.576957169798229,0.2909,0.7866,0.2442,0.4527,0.9619,0.4026,0.619986052549821
"388.1661@0.692762",0.541757125031002,0.8366,0.2974,0.5157,0.2158,0.4769,0.5309,0.58497546135499
"388.213@22.882143",0.295197251338603,0.0699,0.1972,0.3747,0.5491,0.2709,0.6355,0.352867365560863
"388.3334@23.650902",0.694766106531855,0.9124,0.4148,0.7732,0.3581,0.8638,0.2594,0.725067432050379
"389.2165@22.73583",0.0488010863165759,0.0634,0.0515,0.0073,0.8596,0.3963,0.5301,0.0795540823165592
"390.1992@22.610668",0.0118754277782213,0.0957,0.0102,0.0035,0.116,0.0288,0.6099,0.0237863575826853
"390.2301@22.986935",0.000195922662074466,0.001,1e-04,1e-04,0.2153,0.2023,0.9563,0.00106722100479587
"390.3492@23.95131",0.158248385657258,0.3588,0.5973,0.1635,0.1214,0.5636,0.0392,0.211840995784941
"391.141@3.7956958",0.0541750023350646,0.016,0.2787,0.1755,0.0461,0.0577,0.7226,0.0863192665029566
"392.2955@23.014639",0.0411294744004327,0.2937,0.5788,0.1882,0.0686,0.006,0.357,0.0690881861125393
"392.2956@22.82439",0.0811557755582607,0.312,0.0661,0.8791,0.294,0.1501,0.0185,0.120164352760298
"392.2958@22.956139",0.344608867250819,0.1542,0.944,0.9513,0.1507,0.1177,0.9874,0.400111747462118
"392.9632@0.9861823",7.98081952319007e-05,0.0017,2e-04,0,0.2591,0.0156,0.2116,0.000531268593626115
"393.3598@23.963243",0.456334501865006,0.7246,0.9011,0.4036,0.7929,0.1471,0.259,0.505362175619098
"394.286@22.95748",7.50611306443716e-09,2e-04,0,0,0.0039,1e-04,0.2346,9.14381046031436e-07
"394.3813@24.860859",0.175754391949427,0.0595,0.1555,0.0486,0.4006,0.9076,0.3168,0.231802052374245
"396.2275@22.71544",0.000168418419908334,0.0388,5e-04,1e-04,0.0633,0.0099,0.5223,0.000960343330541138
"396.3596@23.796612",0.0051821273152044,0.526,0.0491,0.0076,0.0155,0.0018,0.6072,0.0121187619587677
"396.3964@25.683817",7.74531568684678e-05,5e-04,1e-04,0,0.1926,0.0732,0.7149,0.000518936151018734
"397.1228@1.1722002",0.0305167542463226,0.4093,0.0269,0.0125,0.0995,0.0451,0.8336,0.0533844003786845
"398.1131@6.3527365",0.00120611532876547,0.3434,0.0079,0.0167,8e-04,0.0014,0.5587,0.00409163174821703
"398.3394@23.543226",4.83488802612841e-05,1e-04,0,1e-04,0.5304,0.6105,0.2562,0.000359930553056226
"398.3749@24.251244",0.00317502901524069,0.0651,0.0911,0.1157,0.0013,0.0011,0.769,0.00839159542489651
"399.1488@22.60946",0.00386847474862706,0.0274,0.0019,7e-04,0.1296,0.0597,0.8139,0.0096937448136045
"399.2411@22.837404",0.00226016947543362,0.0151,4e-04,0.0024,0.1179,0.5514,0.2683,0.0065780182437661
"3-HYDROXY-3-METHYLGLUTARIC ACID (M-H)-",0.0118354794619472,0.0013,0.1911,0.0409,0.0434,0.1063,0.5257,0.0237711272536417
"400.1355@0.6709678",1.9848159426239e-05,2e-04,0,3e-04,0.0154,0.4692,0.0027,0.00018342436987007
"400.2581@22.988533",5.05533182584283e-05,3e-04,0,0,0.2201,0.148,0.9279,0.000374262135172895
"401.1556@22.94735",0.452313958114905,0.2625,0.1499,0.6172,0.7041,0.4844,0.2886,0.501738993273156
"401.1636@22.871624",0.148677651221726,0.2629,0.2052,0.0275,0.8426,0.2092,0.3158,0.200632479997093
"401.9168@0.5905456",4.82399601386962e-06,0,0,1e-04,0.3603,0.067,0.398,5.93041711796816e-05
"402.065@1.4503691",0.00193018137004308,0.009,4e-04,0.0017,0.311,0.6969,0.4829,0.00582532215283273
"402.1555@22.606464",0.0142095148158846,0.0055,0.0037,0.0037,0.7869,0.9496,0.8219,0.0275155344700656
"402.274@23.176958",8.28891417281596e-07,1e-04,0,0,0.0168,0.1937,0.2093,1.50096553940181e-05
"402.2978@22.659805",0.000451990348253828,0.3221,0.0057,0.0048,0.0017,5e-04,0.9269,0.0019728568946584
"403.1709@23.208193",1.2318269663969e-05,0.0035,4e-04,0,0.34,0.0038,0.0492,0.000128956885544675
"404.0996@7.4202967",0.00545058201342807,0.8436,0.0058,0.0087,0.0091,0.0143,0.645,0.012636297401373
"404.1001@8.516223",0.417876302775835,0.8373,0.3755,0.4501,0.4885,0.333,0.1042,0.468973405125309
"404.1552@0.66389996",0.12668844787109,0.3743,0.0206,0.3533,0.1218,0.9891,0.1008,0.17683595848673
"404.1659@22.732803",0.096360597901592,0.0928,0.0823,0.0168,0.9191,0.3318,0.4114,0.139743724229582
"404.3133@22.96137",0.00102941722038596,0.0096,2e-04,0.0013,0.0828,0.3304,0.3378,0.00366092347829255
"405.1566@4.6469035",0.173265806837304,0.5391,0.3076,0.7223,0.0333,0.156,0.3162,0.229423103915007
"405.1569@5.490007",0.0519489325905856,0.0269,0.4956,0.1407,0.0208,0.1397,0.2172,0.0832674278365846
"405.1854@1.6058637",0.0459982769632407,0.3103,0.0354,0.032,0.0876,0.0584,0.9922,0.0760020852413594
"406.0979@8.507335",0.0108447548154839,0.2733,0.1605,0.0352,0.0184,0.0022,0.552,0.0220850629980978
"406.1158@8.929182",0.002966928462658,0.6058,0.0088,0.0147,0.0026,0.004,0.6246,0.0079196895218361
"406.1809@22.872562",0.0648891532316239,0.047,0.0564,0.0119,0.9499,0.5199,0.4968,0.100290040750145
"409.1374@8.517779",0.00155779525428579,0.5921,0.0049,0.0112,0.0014,0.0028,0.5287,0.0049038828531278
"409.2021@23.059696",0.147153809538733,0.334,0.0699,0.0414,0.2815,0.1781,0.8172,0.198976896853585
"410.3172@23.312012",0.119916414382954,0.5626,0.8376,0.1059,0.7243,0.0301,0.0803,0.168412871080092
"410.376@24.045965",0.00670782478145615,0.324,0.1451,0.0136,0.0272,0.0013,0.4413,0.0149062772921248
"412.2107@22.957067",4.70392934714958e-07,0,0,0,0.4713,0.3981,0.1234,1.01665569760975e-05
"414.0108@1.8447002",0.749463995774658,0.5885,0.8261,0.6862,0.3175,0.6201,0.5438,0.774311298641513
"414.1172@0.67800003",0.0103242846723184,0.0172,0.0023,0.0227,0.131,0.7536,0.0622,0.0211537331206523
"414.1286@7.41924",0.00249576710345289,0.6323,0.004,0.0258,0.0012,0.008,0.2885,0.00707046071591306
"414.1292@8.52556",0.0046779182410488,0.63,0.0106,0.0211,0.0034,0.0063,0.5795,0.0111339439484998
"414.2273@23.212923",0.00326180966123113,0.2406,0.001,0.0057,0.0117,0.0661,0.3026,0.00852012660048677
"414.253@22.43749",0.0467468409118194,0.2635,0.0293,0.0177,0.1535,0.0836,0.8725,0.0770489136799975
"414.2534@22.512579",0.328307133449576,0.8452,0.198,0.3606,0.1134,0.2163,0.6012,0.38556665979179
"414.35@23.789104",0.0924800656799436,0.0444,0.0321,0.292,0.7659,0.1808,0.1383,0.134845797618199
"416.1443@8.929283",0.00368553091694657,0.7386,0.0061,0.0179,0.0028,0.0078,0.4658,0.00935343073619015
"417.1503@22.948402",0.0550137586183439,0.4956,0.0159,0.0438,0.0661,0.177,0.4902,0.0874477301881149
"417.8902@0.5945367",0.001618487196822,0.0168,0.0067,3e-04,0.6127,0.0407,0.1397,0.00502392180424396
"418.2309@22.950356",0.0477686016694786,0.0258,0.5391,0.0211,0.1056,0.9649,0.096,0.0782963665051392
"419.1655@23.210531",0.000215597678415724,0.0226,0.007,0,0.5507,0.0109,0.0576,0.00115560355630828
"420.0541@2.5086176",0.000374737305061323,0.2408,0.0065,0.0085,3e-04,2e-04,0.7411,0.00171381566137261
"420.2468@23.209703",0.00440959494167081,0.1962,0.0011,0.0127,0.0086,0.117,0.1465,0.0106083612600339
"420.3009@23.021374",6.55757795842149e-08,1e-04,0,0,0.0042,6e-04,0.7266,3.33462904108675e-06
"422.1492@16.48579",0.13692642325268,0.999,0.0448,0.5293,0.0419,0.5188,0.1113,0.18799324503954
"422.234@22.956707",0.819376540625665,0.3574,0.7882,0.6891,0.5346,0.5985,0.9075,0.840707936017145
"422.2529@6.956988",0.183797304352902,0.1174,0.0877,0.1443,0.4612,0.5215,0.1353,0.240516003743056
"422.4119@25.795212",0.0120561798180061,0.0036,0.0185,0.0036,0.2884,0.9253,0.2977,0.02406704956599
"423.1398@22.734743",0.376421913060826,0.8623,0.191,0.9506,0.199,0.7768,0.1085,0.431115695300433
"424.1475@20.660513",0.0759440471896671,0.0471,0.0217,0.0464,0.5877,0.9946,0.5919,0.113958592647429
"424.2816@22.43575",0.00279116010864189,0.0622,7e-04,0.0019,0.045,0.1235,0.4817,0.00764857780282235
"424.3327@23.033066",3.75676532105018e-08,0,0,0,0.0077,0.017,0.533,2.64708710873141e-06
"424.4276@26.949575",0.000407434585008248,2e-04,5e-04,2e-04,0.5373,0.8243,0.6563,0.0018078223308313
"425.1561@22.862745",0.146603756800733,0.3267,0.6056,0.03,0.6651,0.2266,0.1119,0.198433367790891
"425.2537@21.39083",4.3858661767926e-06,0.0011,0,0,0.0201,0.0037,0.5751,5.4925800718711e-05
"426.0864@0.7008447",0.131577519918448,0.3655,0.9799,0.9923,0.0469,0.0336,0.9344,0.182142434597852
"426.37@24.0054",0.00418565203866827,0.06,0.0531,4e-04,0.892,0.0535,0.0851,0.0102724793622994
"427.1757@23.061495",0.988809716653763,0.9647,0.7601,0.977,0.7926,0.9856,0.7682,0.990287758083739
"427.1795@22.948326",0.0960463399102239,0.3072,0.5924,0.0187,0.6501,0.1713,0.079,0.139438890010509
"428.1656@22.718359",0.449165180243856,0.2027,0.9724,0.9123,0.1863,0.1907,0.8816,0.498658940784397
"428.29@23.28282",1.25130248262995e-06,0,0,0,0.1413,0.1144,0.9316,2.02017509243871e-05
"429.1897@23.27806",3.96253124257395e-06,0.001,0,0,0.136,0.0096,0.3018,5.05694463338009e-05
"429.1946@23.208668",0.000134348199268053,0.008,0.0066,0,0.8474,0.0193,0.0385,0.000814599941263307
"430.0828@2.5098119",0.00116967208866114,0.3093,0.0105,0.0137,0.0012,9e-04,0.752,0.00400859488185661
"430.1485@0.6693941",0.00232336472360306,0.0019,0.0015,0.014,0.8597,0.0546,0.0454,0.00672420891928316
"430.1818@22.904762",0.0759088729081162,0.0757,0.4892,0.1068,0.0359,0.645,0.0644,0.113958592647429
"430.308@21.90472",0.0105261387878688,0.4196,0.0968,0.0705,0.0145,0.0021,0.6005,0.0215015639874149
"431.1189@8.517693",0.0101352566586405,0.5318,0.0219,0.0518,0.0058,0.0117,0.554,0.0208301287156108
"432.149@0.75088006",0.169711112860194,0.395,0.5193,0.0673,0.7834,0.1808,0.1066,0.225384431350505
"432.1784@16.486126",0.17517491361132,0.9471,0.0608,0.5732,0.051,0.518,0.1341,0.2312654031913
"432.1787@15.501245",0.138032789365404,0.9337,0.0521,0.9012,0.0617,0.9737,0.0452,0.189318257676194
"432.1963@22.977697",8.81887684071048e-05,4e-04,3e-04,0,0.8938,0.1129,0.1663,0.000570883814809277
"432.2021@23.240112",0.00180688841917209,0.455,0.2048,0.0047,0.4832,0.0016,0.0107,0.00554057318464669
"432.2027@23.185314",0.0156638723953645,0.0258,0.0305,0.0024,0.9597,0.2583,0.2581,0.0300280243344612
"433.2001@22.986156",8.4947036048777e-05,3e-04,4e-04,0,0.9688,0.1296,0.1371,0.00056073412958306
"433.8641@0.598485",1.3003031267278e-06,0,0,0,0.6343,0.5463,0.9401,2.07429308311339e-05
"434.1957@22.749958",0.00578783093762469,0.0304,0.0892,0.0011,0.5782,0.1001,0.0369,0.013257595651995
"434.3366@24.183262",0.502272744437979,0.6933,0.6465,0.4221,0.9212,0.2035,0.214,0.548529321554109
"436.1898@22.947842",0.296093448105399,0.127,0.7955,0.1449,0.2212,0.8666,0.2562,0.35362319114192
"437.0739@21.802631",0.0189811817594283,0.0165,0.0752,0.0028,0.5462,0.5561,0.2353,0.0354738961752217
"437.2908@22.510431",0.0637813378237405,0.7514,0.0782,0.2079,0.0186,0.0573,0.4392,0.099034753978925
"437.3834@24.579731",0.000165698146275539,0.3028,9e-04,1e-04,0.0085,7e-04,0.3245,0.00095528663501038
"438.0909@0.7060001",9.48607365491849e-06,1e-04,0,0,0.1685,0.8272,0.2086,0.000104191300799924
"438.2255@23.061499",0.0267803304060305,0.2937,0.015,0.0085,0.1261,0.0981,0.9784,0.047593690642017
"439.1347@22.739042",0.228995907489639,0.1475,0.0479,0.2298,0.4735,0.6838,0.2569,0.288126306137199
"439.3048@22.56441",0.335286244957926,0.4439,0.3171,0.8703,0.0736,0.3107,0.3564,0.392044998467383
"440.0934@0.6974092",6.67390650375133e-05,2e-04,0,2e-04,0.2389,0.9841,0.2202,0.000472574286988483
"440.2153@22.742302",0.00194265568108098,0.0036,0.0102,7e-04,0.7143,0.45,0.2912,0.00583667850369623
"440.2412@23.281446",0.00821535286045649,0.265,0.0061,0.0035,0.0641,0.0447,0.9819,0.0174739251317646
"440.3868@24.197247",0.000798859154123144,0.0344,0.0203,1e-04,0.7435,0.0186,0.0484,0.00304000795896337
"442.2303@22.868822",0.627057198262881,0.5516,0.5424,0.7062,0.225,0.7912,0.3004,0.663975475571982
"444.1177@8.516576",0.0693335019334391,0.2348,0.331,0.8121,0.0119,0.0579,0.3183,0.105937163729542
"444.1606@22.729446",0.158982012358273,0.0932,0.1598,0.0402,0.668,0.4859,0.2689,0.212610675209667
"446.1268@2.5110686",0.000546954915000453,0.3107,0.0096,0.0114,5e-04,3e-04,0.8249,0.0022845235738654
"446.262@23.281862",0.00402984506583781,0.0391,9e-04,0.0036,0.0787,0.2564,0.4822,0.00997800758520648
"446.3028@20.210142",0.00147239107548791,0.0693,0.0113,0.0063,0.012,6e-04,0.336,0.00477724949431913
"447.1417@22.716742",0.0306823743495808,0.4899,0.0146,0.0235,0.0489,0.0751,0.6787,0.0535343510786956
"448.0693@0.7071113",0.11340369049029,0.845,0.3601,0.1133,0.2938,0.034,0.2497,0.160296355756317
"448.3181@21.711271",0.000539276915679343,0.0584,0.0057,0.0045,0.0017,3e-04,0.6862,0.00227959327132593
"450.1808@18.449207",0.20160554419765,0.8472,0.0866,0.6932,0.0526,0.5314,0.1329,0.26026149250949
"451.1711@22.988173",0.00116901589854623,0.011,0.0194,2e-04,0.8107,0.0518,0.0373,0.00400859488185661
"451.1746@22.874815",0.556459176604509,0.5161,0.5632,0.5363,0.2208,0.9571,0.2266,0.599401363866593
"451.2706@21.725231",4.02523289377843e-06,0.1757,0,0,7e-04,2e-04,0.8528,5.08850196005952e-05
"452.1267@8.480814",0.87580773847739,0.9504,0.5482,0.541,0.5883,0.5851,0.9606,0.888896806942254
"452.1267@8.566257",0.770285091564762,0.9747,0.659,0.3944,0.6367,0.3746,0.7214,0.793986171305216
