"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"245.1373@2.7157724",0.00162636889437817,0.0118,8e-04,0.0028,0.0062,0.0569,0.1371,0.011547219150085
"370.2188@22.989847",0.129361673031092,0.1993,0.0805,0.0261,0.5575,0.2323,0.5649,0.278940028319201
"436.1999@4.605588",0.0785088894102752,0.7196,0.1018,0.2756,0.0209,0.071,0.4009,0.202871324282011
"564.8001@19.83034",0.53847683867434,0.6219,0.2986,0.7703,0.5659,0.4173,0.173,0.64384039010701
"605.3014@22.518576",0.867299341551219,0.6619,0.9578,0.5436,0.6029,0.8683,0.4803,0.904928844123771
"523.3652@22.849295",0.0541447715085206,0.5263,0.0263,0.039,0.0639,0.0902,0.7119,0.154884259624885
"426.3137@19.48595",0.254425054429653,0.2079,0.0659,0.1115,0.5019,0.7828,0.6546,0.419632473622359
"491.2353@22.302853",0.00017069416536708,0.3545,0.0019,7e-04,0.0031,4e-04,0.6267,0.00219400862553721
"761.5416@24.813251",0.875042127877063,0.7858,0.4669,0.8311,0.563,0.9445,0.5355,0.909824137144143
"498.1566@19.282387",0.163191903100125,0.7718,0.0774,0.5128,0.0372,0.3234,0.2026,0.326165050297971
"535.2832@10.878442",0.0578847341545348,0.2196,0.0371,0.0818,0.0309,0.1629,0.2795,0.161493016958872
"153.0501@0.6926514",0.0550938460540147,0.0964,0.0204,0.018,0.4133,0.431,0.9108,0.156466522793402
"328.3087@19.8046",0.286125244387173,0.344,0.7482,0.6466,0.4184,0.0626,0.3098,0.449436673448085
"647.6214@26.58686",0.696956814861177,0.6432,0.6229,0.6296,0.3108,0.9862,0.2936,0.7714644476303
"357.2004@6.877588",0.118510132153379,0.2266,0.1288,0.1027,0.1684,0.0541,0.5766,0.264436990135597
"781.5611@25.21512",2.15397177184551e-05,0.1656,4e-04,0,0.0072,1e-04,0.2165,0.000583922165785755
"833.5946@25.248217",0.156112451132259,0.8716,0.1164,0.0728,0.154,0.1005,0.9052,0.316685258011155
"541.3138@22.209047",0.314305900944875,0.1541,0.1932,0.0859,0.9404,0.5652,0.5821,0.468630098308808
"396.1951@18.440075",0.291771407132267,0.4385,0.0663,0.2093,0.2546,0.638,0.4631,0.452913402666553
"585.5101@24.520542",0.0688250243368,0.44,0.0511,0.0312,0.1396,0.0737,0.8662,0.185566204857448
"272.2464@16.15739",0.967864167814447,0.7591,0.9838,0.9202,0.6567,0.7163,0.8984,0.977038235755816
"329.2313@7.503265",0.0015246719162082,0.0243,0.0017,0.0041,0.0028,0.0194,0.2204,0.0111435579758158
"350.2452@19.486244",0.22322220235738,0.9008,0.0982,0.9132,0.068,0.8014,0.0887,0.395278270445194
"771.5191@24.712969",0.0232528488743344,0.6081,0.8059,0.0118,0.4618,0.04,0.0084,0.0837439557285812
"589.3146@22.083292",0.95227181764152,0.5854,0.6775,0.6529,0.8979,0.888,0.9989,0.969662441043517
"200.9273@0.6245001",0.121418754806828,0.0464,0.0894,0.0257,0.7444,0.8697,0.6095,0.268598462042998
"271.2514@17.66465",0.335871232401304,0.1549,0.1697,0.0863,0.9361,0.5964,0.5556,0.480880832444499
"689.5973@26.741488",6.98155564005098e-06,0.3915,5e-04,0,7e-04,0,0.2652,0.000307065442738375
"480.3443@17.954813",0.162420162270505,0.1504,0.0365,0.0803,0.44,0.8052,0.5605,0.325894883916873
"630.5584@29.684586",0.00403019978809616,0.8255,0.0155,0.0288,0.0038,0.0055,0.6656,0.0231116457078899
"649.6382@27.884365",0.0626300891649978,0.72,0.1122,0.0416,0.1284,0.0301,0.5929,0.17197322825969
"331.2723@21.744595",0.0735056681353724,0.5013,0.0242,0.0483,0.0903,0.1772,0.5968,0.194665987903802
"663.6171@22.740044",0.306649620226739,0.5353,0.3528,0.4299,0.7345,0.1543,0.0895,0.463706474399664
"87.0323@0.9855386",1.06654194920175e-07,0.0012,0,0,0.0365,2e-04,0.0448,2.46017207683608e-05
"646.4529@29.016422",0.000823538499609366,0.5998,0.0301,2e-04,0.0858,0.001,0.1079,0.00703533904576614
"519.3327@22.052351",0.627036963683926,0.6594,0.6797,0.7822,0.9705,0.2627,0.3022,0.714764612272732
"635.5861@22.642859",0.242027474766017,0.7853,0.59,0.1915,0.7808,0.1147,0.0747,0.409207776020386
"306.2564@22.869232",0.420233433142484,0.5578,0.7359,0.1355,0.8047,0.3266,0.235,0.544841781578646
"459.2628@19.282722",0.146808539129648,0.1722,0.024,0.2106,0.3022,0.8388,0.2026,0.305288049989269
"444.3247@19.485424",0.228765669261361,0.2263,0.0548,0.1073,0.4183,0.7256,0.6013,0.398935219729461
"561.312@22.843775",0.139362985883959,0.993,0.103,0.1627,0.0623,0.0981,0.6694,0.294153922123162
"413.2278@5.0916824",0.0591958412307166,0.045,0.0236,0.02,0.3079,0.1536,0.7794,0.164359402746738
"473.242@17.959713",0.30499093762829,0.9913,0.1193,0.8782,0.1088,0.8822,0.1194,0.463706474399664
"338.2823@26.417831",0.00127065420006123,0.9631,0.0036,0.0526,4e-04,0.0135,0.119,0.00986742402235047
"431.2317@16.160475",0.177744510284807,0.6199,0.1381,0.1416,0.1179,0.1203,0.9979,0.347107273520144
"777.4641@24.317156",0.649893335254394,0.6422,0.9342,0.5415,0.669,0.2182,0.4406,0.734084062775986
"441.3459@22.14737",0.0636374773493685,0.0336,0.0143,0.0242,0.6261,0.9454,0.652,0.174098126106254
"478.3297@19.617765",0.224031550250996,0.2489,0.051,0.1139,0.3688,0.7027,0.5558,0.395771376095064
"452.1535@19.283749",0.297633740749617,0.91,0.1146,0.9366,0.1261,0.9668,0.0996,0.457025651346735
"645.6066@25.639523",0.185429810175642,0.4431,0.2846,0.389,0.0624,0.0745,0.7369,0.35400236488077
