"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"347.0627@0.9779547",0.00711283504838534,0.8498,0.0282,0.0445,0.0049,0.0061,0.6773,0.0353507901904751
"368.3449@24.577879",0.616191477715027,0.6658,0.9419,0.4072,0.6257,0.2038,0.4721,0.706724225594696
"115.0635@0.7153334",0.266130619355555,0.1587,0.5385,0.3711,0.0997,0.2042,0.5585,0.428024654389787
"412.2595@23.124239",0.0154693863831915,0.2405,0.023,0.0077,0.1358,0.0279,0.5273,0.064252772659717
"368.1238@8.507739",0.385137944656785,0.2814,0.1044,0.1924,0.536,0.8649,0.6228,0.519204950708197
"203.1159@0.98231125",2.03007603161165e-06,0.051,7e-04,8e-04,0,0,0.7594,0.000140416508598968
"495.3339@22.257107",0.231380096427743,0.5335,0.117,0.0863,0.2766,0.2059,0.9485,0.402029962458529
"799.6169@26.72383",2.49134323588862e-05,0.0898,0,1e-04,7e-04,0.0066,0.3078,0.000629591994018633
"191.0583@4.296375",0.474847196165892,0.6051,0.3982,0.9499,0.5524,0.3746,0.1477,0.586575948204925
"771.6157@26.613594",7.799234751249e-06,0.0149,2e-04,1e-04,0.0075,1e-04,0.3303,0.000308653134445938
"493.3169@22.008326",0.506983245932748,0.343,0.6966,0.1819,0.5382,0.6719,0.2963,0.616301343230989
"131.0693@0.69912505",0.0794242728778203,0.1516,0.1478,0.0282,0.9757,0.1136,0.1379,0.204175156656604
"529.3181@22.427843",7.86641120653631e-06,0.0384,1e-04,0,0.0049,2e-04,0.2972,0.000308653134445938
"739.5162@24.305113",0.0896716363959835,0.6249,0.4719,0.1111,0.1812,0.0174,0.3255,0.220881018139667
"567.3325@22.199137",0.972853649572507,0.8491,0.941,0.7077,0.8853,0.8122,0.7047,0.97810168004896
"505.3536@22.793087",0.319234999460011,0.7307,0.2181,0.1463,0.3345,0.2088,0.8276,0.47338890727208
"791.548@24.846802",0.0449189795489767,0.2656,0.263,0.0084,0.9663,0.0862,0.108,0.137242210056402
"282.2561@22.944517",0.646337502413528,0.2302,0.3833,0.5329,0.7392,0.4325,0.7004,0.731730612071808
"501.3211@22.719166",0.821334086837802,0.9107,0.4246,0.6363,0.4367,0.6784,0.666,0.872228720423905
"158.0203@1.120778",2.62744901391443e-07,0,0,0,0.01,0.0342,0.4052,3.56138770886038e-05
"779.548@24.236254",0.54175156565311,0.2488,0.5013,0.9627,0.6258,0.2099,0.4841,0.646718642424969
"390.2778@23.126244",0.000830462556710154,0.0982,0.0036,4e-04,0.1021,0.0074,0.2851,0.00703533904576614
"785.5956@25.448692",0.197393515647734,0.4903,0.2963,0.2962,0.0802,0.0668,0.9251,0.368814200289187
"217.1313@1.6844747",4.72110392113478e-06,8e-04,0,0,0.0016,0.0014,0.4864,0.000251398783800427
"1598.9106@19.82874",0.416499654758901,0.8942,0.1962,0.9856,0.1431,0.8684,0.1633,0.541450132418073
"783.5799@24.914278",0.784627826645998,0.3898,0.8309,0.7937,0.4523,0.4278,0.9677,0.842922231206794
"851.5454@24.292519",0.457082951649407,0.8176,0.1983,0.2771,0.2481,0.3469,0.7616,0.575114498657608
"155.0684@0.62999994",0.142669338578424,0.2115,0.0818,0.0523,0.3353,0.1447,0.6955,0.299107436472215
"545.3479@22.427362",0.262761588075733,0.8593,0.3904,0.2045,0.2278,0.0776,0.6515,0.425382766363645
"459.2739@22.568949",0.370098579903201,0.3234,0.8591,0.8752,0.1491,0.1188,0.9696,0.508138311366727
"612.1523@0.72157145",0.320200537674716,0.3127,0.6203,0.9959,0.3854,0.0796,0.399,0.47338890727208
"230.0765@3.3698275",0.238746813698607,0.7422,0.2852,0.4145,0.0651,0.177,0.4546,0.406360158932218
"85.0899@1.5943536",0.789571857587861,0.7699,0.8954,0.6528,0.6009,0.3254,0.6941,0.846334751735083
"481.4136@22.236532",0.0156209939535972,0.0021,0.0262,0.0301,0.3557,0.1898,0.77,0.064489682593825
"1064.5231@22.125687",0.00597698043614547,0.2154,0.0199,0.001,0.1818,0.0193,0.4159,0.0310511422658289
"795.5769@24.944134",0.694469564229826,0.8771,0.355,0.8535,0.2714,0.721,0.4221,0.770212461106767
"1252.6895@9.690596",0.0336676194531671,0.0072,0.0117,0.0228,0.649,0.2233,0.4678,0.11111943444793
"360.2323@19.828066",0.0862488396022791,0.8535,0.0249,0.5626,0.0307,0.6869,0.0532,0.217224695687497
"368.3769@21.78772",0.374607594855469,0.7568,0.2264,0.1371,0.3565,0.2399,0.8746,0.510475526808568
"278.0847@6.134348",0.65739479073116,0.5511,0.2224,0.6042,0.4886,0.9043,0.3992,0.740313922190453
"571.3626@22.930391",0.0994556947967399,0.2951,0.0232,0.0616,0.1579,0.3792,0.527,0.235823027314894
"166.0629@17.388021",0.232963624959335,0.8357,0.1035,0.8046,0.1491,0.6408,0.0539,0.402029962458529
"701.5364@25.098032",0.232929357412375,0.0584,0.1948,0.1191,0.3241,0.4754,0.6911,0.402029962458529
"245.1629@4.4852443",0.00558923887864693,0.0276,0.003,0.0029,0.1207,0.089,0.9853,0.0296159328900827
"281.2722@20.651653",0.337125990424499,0.081,0.2741,0.1804,0.5042,0.5679,0.8716,0.481470164485564
"368.2032@22.883152",0.410769583871871,0.7566,0.3536,0.8599,0.1053,0.4783,0.2775,0.541193749675057
"273.267@17.148651",0.732439429089484,0.9579,0.7723,0.4572,0.8114,0.4246,0.3125,0.802400579553578
"665.5982@26.67662",0.216383241587983,0.0668,0.2567,0.0799,0.2937,0.8204,0.3649,0.388095384092644
"426.101@1.1391486",0.296149408283945,0.1994,0.0805,0.1032,0.4542,0.5882,0.7903,0.456641096087175
"416.2476@21.585514",0.956638667222393,0.8542,0.8425,0.5913,0.9823,0.7315,0.7606,0.970304933896998
"203.098@9.518969",0.0725738577726914,0.4954,0.2895,0.7465,0.0111,0.0909,0.2039,0.193227896319791
"496.1904@22.017773",0.166632480327918,0.534,0.7925,0.1271,0.3916,0.0337,0.2307,0.33082427186275
"499.2704@21.661455",0.111590535550714,0.76,0.7714,0.1519,0.9904,0.0446,0.0684,0.256365929901563
"479.3019@25.265226",0.0188645083004945,0.1033,0.0125,0.0034,0.278,0.1397,0.7751,0.0734385949765985
"996.5507@22.334455",0.00672158141116519,0.3137,0.1423,0.0627,0.0083,0.0015,0.6851,0.0339724674035502
"312.2668@26.417614",0.00150257189931369,0.4527,0.0296,0.0035,0.007,6e-04,0.6409,0.0110770442011174
"436.229@8.710994",0.0401820139834353,0.3676,0.0957,0.097,0.022,0.0178,0.9677,0.126378641759357
"787.515@24.441008",0.744877856805519,0.9891,0.6029,0.7176,0.5436,0.6363,0.2794,0.81125849853691
"574.4061@22.623121",0.514391421653204,0.5105,0.3722,0.9163,0.7457,0.3024,0.1889,0.624050129930778
"626.5283@24.939573",0.635677026080631,0.3292,0.3152,0.2808,0.8915,0.975,0.9075,0.724059928102537
"655.4559@24.209099",0.0363703638016182,0.1804,0.1841,0.247,0.0123,0.014,0.7755,0.117123568959423
"749.5372@24.714903",0.00702295920603457,0.2546,0.0959,0.0032,0.4685,0.0075,0.0488,0.0351383630073743
"342.1871@22.740095",0.0205192003760029,0.1207,0.0039,0.054,0.0441,0.6169,0.0876,0.0782458510501797
"555.3333@22.57784",0.000100575510276868,0.025,2e-04,1e-04,0.0112,0.003,0.7236,0.0014995808582281
"234.1151@5.489442",0.37122892113009,0.1468,0.6448,0.3063,0.1664,0.4361,0.4157,0.508145769324889
"765.5319@24.444544",0.106442422184639,0.425,0.2413,0.0183,0.6774,0.1084,0.2619,0.247590719933379
"203.0805@2.109381",0.0183624042772876,0.3137,0.2057,0.3427,0.0055,0.0089,0.5935,0.0717184954250497
"588.4231@22.797564",0.121658782391962,0.0562,0.0431,0.3899,0.8978,0.1976,0.1553,0.268730732661355
"340.2983@22.961637",0.006369836964773,0.612,0.0506,0.0347,0.0071,0.0027,0.9061,0.0325254346386183
"665.6336@22.79269",0.0810620974298778,0.0304,0.1017,0.6105,0.5564,0.0455,0.1775,0.207313185708315
"301.2089@18.531342",0.0377178526854879,0.2826,0.0348,0.0286,0.0842,0.0467,0.9563,0.120165210158253
"392.2909@23.148705",0.0108220256093825,0.6072,0.1071,0.0143,0.1002,0.0033,0.1872,0.0495619768978239
"793.5629@24.920752",0.189608352977588,0.4013,0.0944,0.0583,0.3188,0.2059,0.8429,0.359676913854432
"485.2883@22.599104",0.197797538509451,0.3373,0.4076,0.8096,0.041,0.1316,0.4504,0.369106545578962
"343.2004@9.956785",0.39193580654272,0.4692,0.1037,0.4041,0.2448,0.9153,0.2547,0.524104293771475
"643.6276@26.503422",0.0209360099687789,0.2303,0.0986,0.3877,0.0036,0.0216,0.3244,0.078707199011245
"501.2859@22.136496",0.00570531532809904,0.1659,0.0073,0.0012,0.1345,0.0414,0.6755,0.0299387780719648
"444.3607@23.557228",0.000588302516125849,0.0028,0.0021,1e-04,0.7843,0.0655,0.1493,0.00555163956673191
"607.4588@24.15867",0.184910691107838,0.0653,0.9619,0.4279,0.0733,0.2498,0.4639,0.35400236488077
"579.286@22.264788",0.23866484106431,0.3989,0.0749,0.0949,0.2858,0.3719,0.7775,0.406360158932218
"465.1317@16.476152",0.564939102835814,0.657,0.1877,0.461,0.3224,0.7479,0.475,0.663770056996217
"172.071@2.1910746",0.275237963468604,0.8496,0.6157,0.349,0.287,0.0641,0.4838,0.438439961038128
"596.3237@19.830933",0.325171878715232,0.1978,0.0884,0.1616,0.6198,0.969,0.6265,0.475867557328112
"1229.6442@11.151278",3.70629203189088e-05,6e-04,0,1e-04,0.0168,0.1526,0.2101,0.000767511308270736
"442.3089@18.881191",0.174027337679829,0.2364,0.0359,0.0995,0.3028,0.6753,0.487,0.341863979552865
"714.2645@8.506452",0.414628311508377,0.5709,0.2922,0.9824,0.1036,0.5469,0.2411,0.541450132418073
"335.3036@21.375511",0.908705535084095,0.7549,0.8694,0.5452,0.8557,0.7056,0.5815,0.934399967455438
"467.302@21.680214",0.609777960583447,0.5074,0.7296,0.5795,0.241,0.8608,0.2797,0.700986074965242
"703.4407@22.72648",0.369440660338357,0.5053,0.6698,0.4508,0.8038,0.1083,0.1964,0.508138311366727
"819.6958@27.163755",0.0180032532584045,0.1324,0.1597,0.4593,0.0033,0.0122,0.3849,0.0710128322970398
"781.5646@24.63572",0.782434373742248,0.6429,0.6739,0.7819,0.9701,0.3791,0.4234,0.841709705086358
"444.3603@23.677406",0.0275970400859294,0.0565,0.0785,0.0054,0.8754,0.1176,0.1181,0.09535710730143
"366.143@2.311232",0.472416307210998,0.3388,0.2671,0.1313,0.8446,0.6039,0.7716,0.585611942723352
"644.5368@27.8816",5.99393187794561e-06,0.2977,0,1e-04,0,1e-04,0.2908,0.000288288788065062
"674.5262@27.487175",0.00027363252602175,0.016,0.0039,0,0.406,0.0095,0.0857,0.00304467236043604
"243.1469@4.1200647",0.0156574547947449,0.0354,0.0055,0.0067,0.1954,0.2183,0.8333,0.064489682593825
"496.342@17.823317",0.0781522174476006,0.609,0.021,0.1194,0.0439,0.2464,0.2732,0.202871324282011
"188.1158@2.9519258",0.000108378873940662,0.0019,0,2e-04,0.074,0.4231,0.2426,0.00159992971332205
"237.1003@8.692286",0.0509228738978218,0.1899,0.0281,0.0609,0.0359,0.1518,0.3325,0.148536277293959
"541.3984@17.823547",0.286662827933688,0.2784,0.0785,0.1327,0.4197,0.6422,0.678,0.449436673448085
"299.2823@20.45856",0.672825615784857,0.7377,0.2502,0.8032,0.3808,0.9285,0.3395,0.750885473903609
"294.1871@22.874636",0.00172542537610121,0.0072,4e-04,0.006,0.066,0.9649,0.0569,0.0119656243524042
"715.5522@25.518984",0.00211534857155293,0.701,0.0253,0.0274,0.0022,0.0014,0.8602,0.0140177098674908
"431.2309@17.48826",0.335014418071026,0.3318,0.0729,0.4196,0.3657,0.8208,0.2447,0.480880832444499
"1039.6624@19.829475",0.282044031199303,0.1611,0.0814,0.1255,0.672,0.9579,0.6916,0.446360476168464
"505.3528@26.156765",0.246961396840659,0.6167,0.4341,0.0561,0.7422,0.1505,0.3237,0.412099041949144
"218.126@2.6818268",0.00150814216822726,0.0087,4e-04,0.0025,0.0223,0.2822,0.1269,0.0110770442011174
"184.1211@3.9045362",0.0301331482598546,0.0188,0.0092,0.0098,0.258,0.2518,0.9065,0.102576538939368
"359.1733@18.193502",0.0437655147652596,0.0086,0.0275,0.0705,0.693,0.2665,0.512,0.135295134334741
"826.6946@27.902546",0.0208349171163539,0.4225,0.0386,0.0196,0.0758,0.0197,0.7301,0.078707199011245
"787.6114@26.141294",0.0869122614903803,0.302,0.3821,0.2074,0.0591,0.0185,0.7437,0.218084247046918
"546.3505@22.946522",0.911772853873238,0.8024,0.8834,0.7134,0.9295,0.5047,0.6118,0.936907873966229
"446.0675@8.510381",0.407336329357838,0.193,0.1248,0.2342,0.7646,0.8432,0.614,0.538898373622482
"470.1254@17.487309",0.28161920688185,0.9609,0.1523,0.769,0.1507,0.7181,0.0673,0.446360476168464
"363.1686@8.508562",0.419226138188689,0.2771,0.1227,0.1988,0.6007,0.8888,0.6748,0.544008852949813
"629.613@27.309399",0.00333237524820529,0.66,0.0075,0.0034,0.015,0.006,0.9065,0.0200345624801374
"175.0667@3.3728597",0.0731311720793197,0.6215,0.1296,0.2973,0.0192,0.0529,0.4635,0.194018821299405
"753.568@25.497585",0.000153058027045794,0.0355,0.0089,1e-04,0.3547,8e-04,0.015,0.00201955325951574
"278.0093@1.2163478",0.206097691647935,0.4855,0.0442,0.4003,0.1337,0.9033,0.1409,0.376918575219245
"591.3202@21.880507",0.679432002298583,0.5741,0.2392,0.4189,0.5009,0.8078,0.6437,0.75455712774911
"276.8532@0.53756535",0.679014345570425,0.4175,0.2511,0.6236,0.7051,0.709,0.4514,0.75455712774911
"316.1819@12.816087",0.742180149525573,0.6934,0.85,0.6547,0.4022,0.9592,0.3245,0.80950300142109
"256.2147@15.145077",0.0541644544851241,0.0187,0.021,0.0131,0.9064,0.7258,0.6463,0.154884259624885
"467.3018@21.419193",0.36113298499255,0.3149,0.1156,0.1308,0.4361,0.4998,0.8524,0.501349423299713
"325.371@21.092026",0.452195794392108,0.1586,0.3986,0.5505,0.4518,0.2215,0.7016,0.570892404266412
"423.3357@21.133793",0.73741865113575,0.5181,0.7338,0.9145,0.5809,0.3044,0.6695,0.8060785988588
"831.5775@25.399124",0.0155413304135458,0.0484,0.0055,0.0063,0.1825,0.1946,0.8542,0.0643670101294354
"752.5801@24.984272",0.0014474293777359,0.0657,0.0019,3e-04,0.1165,0.0389,0.7155,0.0107369015035036
"755.5461@24.429337",0.0871614354865781,0.6829,0.6383,0.3667,0.9099,0.03,0.0396,0.218084247046918
"475.2688@22.187052",0.000165378680610062,0.1765,9e-04,3e-04,0.0062,8e-04,0.5931,0.00214417054599654
"383.2312@14.473301",0.246416614947707,0.6855,0.0812,0.3421,0.104,0.5054,0.2709,0.411891449424923
"459.2625@17.591139",0.204278088262667,0.4261,0.0415,0.5459,0.1823,0.8078,0.1048,0.375633797552871
"821.636@25.530426",0.000703076250125778,0.0853,6e-04,0.001,0.0101,0.0125,0.7082,0.00627716580202117
"506.2118@16.47726",0.368167824064989,0.4474,0.0825,0.4304,0.296,0.9863,0.2638,0.508138311366727
"237.0368@0.6398126",0.0990960512462815,0.0235,0.0588,0.035,0.2705,0.5626,0.5229,0.235649461576086
"406.1817@7.7987885",0.0882630248098971,0.2644,0.1321,0.1301,0.0663,0.04,0.979,0.218968668871142
"421.3768@22.598862",0.778097215379112,0.3634,0.3972,0.5409,0.9509,0.7037,0.7542,0.838140108913187
"993.7109@25.458576",0.00068637946360306,0.0132,0.0016,4e-04,0.1888,0.0177,0.3188,0.00617913495654669
"257.8921@0.59287494",0.0891655243032112,0.2137,0.2025,0.0171,0.9497,0.1461,0.1846,0.220144705461416
"681.0926@19.826298",0.548069388891784,0.9618,0.279,0.8992,0.2427,0.9366,0.1924,0.650096625964718
"545.3463@22.727007",0.156348770347926,0.6152,0.1256,0.0589,0.2325,0.1022,0.7159,0.316733718191246
"634.1333@0.71671456",0.617430747687545,0.219,0.2505,0.2547,0.8903,0.8196,0.9377,0.7076012642599
"611.6009@27.312485",0.000865000782801384,0.6589,0.0012,0.0022,0.003,0.0052,0.6468,0.00728653201783539
"611.5997@25.945122",0.00134214075253281,0.0051,0.903,0.0217,6e-04,0.3589,0.004,0.0102098564389103
"875.6852@26.7071",0.559125392206329,0.2036,0.472,0.8535,0.6468,0.2733,0.5803,0.658496018783283
"136.0384@1.0804446",0.468252836028783,0.3615,0.5495,0.8812,0.124,0.3775,0.413,0.584650588657221
"501.2869@22.014418",0.00885967505187801,0.2974,0.0317,0.0042,0.1511,0.0115,0.2878,0.0422239607814814
"362.2456@19.828644",0.435724367357266,0.8179,0.137,0.5532,0.184,0.7112,0.2877,0.557098981972562
"343.2213@6.9817767",0.113980884040085,0.3986,0.1748,0.1883,0.0576,0.0545,0.839,0.259187446912322
"310.1206@8.507913",0.338126783517017,0.2689,0.0886,0.163,0.4995,0.8138,0.6244,0.481976132145194
"426.3137@19.82845",0.363193972350287,0.8796,0.1562,0.6421,0.1052,0.5096,0.2651,0.503273431946355
"669.6043@27.312044",0.000180530345763152,0.3366,6e-04,2e-04,0.0046,0.0015,0.9021,0.00226193903809126
"564.2981@17.952692",0.201317156975991,0.9395,0.1012,0.2609,0.0696,0.1918,0.4732,0.371950286308802
"402.2936@22.137138",0.00255380520361448,0.3733,0.0294,0.0106,0.0183,0.0011,0.3675,0.0162723228999538
"369.2883@19.12893",0.0296107500998,0.362,0.0254,0.124,0.0106,0.1975,0.0944,0.101260615593582
"436.187@18.439981",0.343867324274898,0.448,0.0782,0.5245,0.2836,0.8648,0.1984,0.486563792488089
"375.2826@23.281101",0.0579468571918151,0.4176,0.0303,0.0372,0.0815,0.0878,0.84,0.161493016958872
"479.3977@22.082195",0.0928679380069137,0.0334,0.0197,0.0511,0.7428,0.7033,0.4795,0.226251790144295
"463.3067@22.600048",0.190660346950833,0.4806,0.3678,0.3781,0.0742,0.0599,0.9281,0.359841237093281
"767.5485@24.94849",0.138087178020993,0.1088,0.1695,0.0295,0.7811,0.4304,0.3002,0.292039691389079
"617.4502@22.234816",0.403627099501487,0.3333,0.0944,0.3225,0.4204,0.9735,0.3784,0.536383055572916
"545.2796@22.274433",0.0112738459119187,0.1002,0.1597,0.0022,0.8046,0.0409,0.0327,0.0507914935180737
"667.6127@27.880783",1.44469180476392e-05,0.4344,0,1e-04,1e-04,2e-04,0.53,0.000439599077735307
"855.5781@24.467953",0.3206725662943,0.213,0.8811,0.6649,0.0935,0.2328,0.4667,0.47338890727208
"479.337@22.70601",0.36670741787475,0.2695,0.7824,0.6865,0.0942,0.3266,0.3819,0.507199220826765
"366.3121@23.213757",0.0338351597849498,0.7,0.0799,0.0102,0.1535,0.0251,0.5161,0.11111943444793
"521.5908@22.643616",0.798861108346918,0.4814,0.5098,0.9939,0.9857,0.46,0.4913,0.853836496448211
"475.2374@22.499565",0.123192648151186,0.0245,0.2918,0.134,0.1354,0.2568,0.6245,0.270914805889998
"483.1106@1.3713646",0.27332140685126,0.7593,0.597,0.235,0.6792,0.0872,0.2044,0.437065607752914
"677.4648@22.954016",0.873672610745653,0.6366,0.4249,0.5853,0.7508,0.9707,0.762,0.909034098131031
"318.1836@19.82802",0.215831068913539,0.1955,0.0542,0.0933,0.4651,0.7413,0.6467,0.388095384092644
"148.016@20.846155",0.58725083635539,0.646,0.252,0.2544,0.4746,0.5069,0.9035,0.682754055984741
"616.5055@26.416534",0.0102758891913488,0.2297,0.3558,0.2343,0.0094,0.0021,0.742,0.0472881197046329
"779.584@25.973564",0.0828360072817067,0.6834,0.2192,0.0305,0.3559,0.0404,0.2827,0.209348083798119
"646.5527@29.439114",0.0198284990533714,0.0787,0.0057,0.0091,0.1548,0.2209,0.7223,0.0765914302812868
"543.3334@22.062216",0.46486631210902,0.9398,0.5454,0.2823,0.4225,0.1553,0.595,0.581961101053357
"577.3041@21.889975",0.343403320997263,0.8308,0.2464,0.6275,0.1603,0.7852,0.0856,0.486563792488089
"470.3584@22.95834",0.575641941496039,0.51,0.8998,0.5281,0.5964,0.172,0.4433,0.673690843618991
"453.2863@22.305155",0.000349526750342721,0.0344,4e-04,1e-04,0.045,0.0119,0.7091,0.00367003087859857
"888.6778@28.822924",0.00584441712233486,0.0185,0.2953,0.8326,0.002,0.0076,0.3785,0.0304686221307737
"311.3188@21.527168",0.182295825670719,0.197,0.1303,0.0355,0.7205,0.3521,0.618,0.351166764954834
"770.4781@22.277111",0.413560006208227,0.1855,0.1268,0.3335,0.7884,0.651,0.4756,0.541450132418073
"689.5355@25.676033",1.24972312831595e-07,0,0,0,9e-04,0.4861,0.0048,2.46017207683608e-05
"699.5206@24.61463",4.39607827775745e-05,0.3839,1e-04,1e-04,4e-04,4e-04,0.812,0.000862441146333732
"451.2708@21.720291",0.000223519222268709,0.835,0.0046,0.0039,9e-04,3e-04,0.9625,0.00262415086931216
"632.4488@22.798958",0.4159630384387,0.1666,0.1241,0.2352,0.8173,0.7589,0.5919,0.541450132418073
"322.2186@23.20667",0.00321310569811639,0.2185,0.0278,8e-04,0.2409,0.0076,0.1365,0.0194745552678518
"273.1766@19.948997",0.0819596134235198,0.0727,0.0224,0.0224,0.4687,0.4709,0.9628,0.208670404982358
"766.5312@24.492186",0.151148495098932,0.7782,0.5053,0.04,0.6909,0.074,0.1865,0.31170457288037
"69.0583@0.71507704",0.403636343630323,0.2013,0.5297,0.4068,0.1821,0.2781,0.6832,0.536383055572916
"462.3348@19.827976",0.227954176479747,0.2003,0.0553,0.1061,0.4625,0.7806,0.6087,0.398350660561737
"445.2596@19.378683",0.825825307556313,0.7287,0.9893,0.5622,0.6293,0.7231,0.3987,0.875128310992511
"1209.6458@7.897975",0.0303032820487096,0.0325,0.1981,0.6629,0.188,0.01,0.1942,0.102686803487786
"322.0901@8.511471",0.557574753595567,0.3521,0.2171,0.2222,0.7255,0.8076,0.8902,0.657984323527574
"527.3015@22.19248",0.00838710749345306,0.3518,0.0248,0.007,0.0696,0.0094,0.4832,0.0406781098610198
"555.1316@1.2156004",0.0310356407803303,0.0068,0.0147,0.0089,0.6204,0.764,0.7831,0.104221036944758
"519.3325@22.21037",0.868690194305494,0.9288,0.6787,0.9496,0.4682,0.9624,0.4572,0.905746209587057
"793.5987@25.520332",0.240553039619076,0.6253,0.7753,0.1381,0.4604,0.0549,0.2584,0.408037067203689
"649.6372@26.982035",0.125486792579677,0.0935,0.1314,0.0208,0.8371,0.3422,0.2659,0.273539192596927
"633.6058@26.637997",0.226505837010467,0.6825,0.3641,0.1846,0.1737,0.064,0.7102,0.397317885861889
"408.3032@19.486061",0.410886200289849,0.3069,0.1122,0.2235,0.6169,0.9737,0.5894,0.541193749675057
"430.3563@21.477125",0.778554024711444,0.6748,0.364,0.5022,0.4829,0.69,0.7371,0.838140108913187
"181.1467@12.063848",0.0115257567123394,0.0496,0.825,0.0079,0.0769,0.3505,0.0115,0.05145180616197
"509.3852@23.095903",0.0337874822417006,0.2195,0.0076,0.0631,0.0405,0.3441,0.1913,0.11111943444793
"136.0389@1.8332919",0.458428784838112,0.7997,0.5354,0.5007,0.2196,0.1593,0.9633,0.576321516183495
"627.5963@26.385504",0.647546989928207,0.4227,0.4903,0.8982,0.9213,0.2917,0.3649,0.732543673735172
"624.5115@24.441692",0.0787200024454633,0.5894,0.3252,0.0224,0.6254,0.0521,0.1603,0.20306491980309
"631.628@28.8656",0.971044945870702,0.8785,0.6467,0.8467,0.737,0.9714,0.7482,0.977920732853487
"204.0902@3.6473403",0.154087597499404,0.2503,0.0359,0.0913,0.1946,0.4783,0.4703,0.314273592559509
"495.3342@22.406544",0.322381613526687,0.568,0.2944,0.6845,0.0758,0.2422,0.4149,0.475441133301968
"309.1425@3.7405066",3.94124586460265e-05,0.0283,0,1e-04,0.0023,0.0224,0.2197,0.000804985970427747
"417.2098@16.47804",0.300356664570813,0.3278,0.0633,0.4377,0.3342,0.7895,0.2063,0.459802066214539
"650.5264@26.87067",0.191024714586842,0.5484,0.792,0.1722,0.751,0.0502,0.1143,0.360073134575199
"682.4273@22.258533",0.193986719776982,0.115,0.048,0.1053,0.6147,0.9592,0.5622,0.3640095688531
"379.3293@21.482307",0.305765583487731,0.773,0.5074,0.2511,0.2752,0.0837,0.5817,0.463706474399664
"885.7274@28.282877",0.0446798942164321,0.46,0.0584,0.5438,0.007,0.1161,0.1237,0.136792037529159
"475.2678@22.30634",3.40535787867191e-05,0.1148,1e-04,0,0.0036,0.001,0.8329,0.000735853419869539
"487.3055@22.856018",0.849943514797751,0.4709,0.9847,0.5947,0.507,0.863,0.627,0.891185499693
"148.0888@18.440302",0.431744584247777,0.9122,0.1784,0.5988,0.1539,0.6237,0.3007,0.554462972563467
"477.3843@23.558136",0.0144642433138484,0.1249,0.3849,0.506,0.005,0.005,0.7448,0.0610940135437621
"856.7486@26.98337",0.00330955369819042,0.0029,0.0087,7e-04,0.5309,0.423,0.1671,0.0199779132145826
"727.5526@25.26702",0.438289633272383,0.1565,0.2032,0.4772,0.8807,0.3478,0.4581,0.558538327529165
"589.3161@22.19906",0.980875736209135,0.7713,0.7668,0.938,0.9904,0.7749,0.7753,0.984838870496849
"835.6091@26.313997",0.0389821393048502,0.0101,0.0908,0.0152,0.1806,0.8679,0.274,0.123402058818538
"557.281@22.203596",0.264356978659195,0.122,0.0676,0.0933,0.6002,0.8394,0.7117,0.426114870465794
"205.9876@1.1982502",0.0215829472305316,0.0283,0.0084,0.0063,0.5374,0.6101,0.8692,0.0801486294985746
"342.147@8.507895",0.368691386849703,0.2731,0.0994,0.1801,0.5314,0.8506,0.6298,0.508138311366727
"135.0546@3.9174652",0.586408179041108,0.8066,0.8691,0.2571,0.9439,0.3174,0.3287,0.682754055984741
"266.1652@20.725822",0.967658150266282,0.6657,0.8957,0.7197,0.7427,0.912,0.8086,0.977038235755816
"1040.518@22.016094",0.00431635137118225,0.9093,0.0896,0.0037,0.0845,0.0017,0.1427,0.0242855845072933
"181.9771@0.5369211",0.0912247439260683,0.0335,0.0422,0.2441,0.9014,0.1408,0.1983,0.222977201956996
"424.2604@22.48698",0.330552881538542,0.6003,0.1753,0.3072,0.13,0.3289,0.4533,0.478964379372173
"460.3185@18.881397",0.24792173143068,0.2394,0.0599,0.1178,0.4241,0.7353,0.6001,0.412099041949144
"491.3981@23.74245",0.216167228485334,0.0749,0.147,0.5935,0.7279,0.1527,0.2994,0.388095384092644
"447.3327@21.583496",0.609423040842666,0.3022,0.2014,0.3054,0.6289,0.9577,0.572,0.700986074965242
"401.3509@21.298378",0.723299388006851,0.7953,0.6597,0.4425,0.492,0.3,0.785,0.794137987863192
"408.1486@16.4769",0.329266071445254,0.3841,0.0718,0.4666,0.3132,0.8429,0.213,0.478494846515471
"321.2646@20.651344",0.125832860632217,0.037,0.1543,0.0404,0.5212,0.9103,0.5796,0.273564633770237
"232.1788@7.713986",0.405946227754136,0.9556,0.4489,0.3933,0.4649,0.3411,0.0997,0.538014067183482
"449.1976@19.058836",0.309498954336292,0.4899,0.0657,0.4161,0.2222,0.9341,0.2259,0.465653825343503
"300.2779@17.746363",0.390904562486759,0.2416,0.3721,0.6405,0.5909,0.1438,0.3925,0.523664602576602
"158.142@0.56196976",0.354277407874755,0.7001,0.5993,0.2188,0.8213,0.1462,0.2444,0.495058683356382
"278.1522@20.846643",0.0808523843683789,0.6098,0.254,0.0168,0.5084,0.055,0.2351,0.20727640908992
"605.2809@22.199942",0.199106488098215,0.5217,0.2505,0.246,0.0838,0.0722,0.9165,0.369848573684579
