,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-2117,0.35461472,-0.387892864,0.723210334,-0.53634862,0.591717634,NA
hsa-miR-212-3p,160.2378179,-0.389524096,0.259722464,-1.499770528,0.133673854,0.365805901
hsa-miR-212-5p,41.51108622,-0.334185522,0.219353651,-1.523501066,0.127633394,0.353644888
hsa-miR-214-3p,24.20808071,-1.040449366,0.366154512,-2.841558225,0.004489365,0.029883115
hsa-miR-214-5p,5.195688124,-1.077231534,0.475991651,-2.263131153,0.023627606,0.105937592
hsa-miR-215-3p,0.237562141,0.024340781,0.67759523,0.035922302,0.971344313,NA
hsa-miR-215-5p,15.0133133,-1.056823538,0.34379987,-3.073949787,0.00211245,0.01607809
hsa-miR-216a-3p,0.874992047,0.698897462,0.731629994,0.955260812,0.33944582,NA
hsa-miR-216a-5p,4.27009725,-1.260424608,0.616420105,-2.044749349,0.040879576,0.160523939
hsa-miR-216b-3p,1.240079209,0.146345263,0.752860045,0.194385748,0.845873849,0.925385663
hsa-miR-216b-5p,4.164223459,-1.003992091,0.512986162,-1.957152386,0.050329555,0.190942588
hsa-miR-217,3.233441144,-1.085667866,0.67079437,-1.618480886,0.105559003,0.315908375
hsa-miR-218-1-3p,9.083657841,0.325741725,0.412925855,0.788862506,0.430192372,0.707236259
hsa-miR-218-2-3p,2.688238507,-0.846856696,0.593959447,-1.425782013,0.153931275,0.400416164
hsa-miR-218-5p,646.9500947,-0.437442426,0.352163297,-1.242157911,0.214178305,0.491772533
hsa-miR-219a-1-3p,7.570837566,-0.207589033,0.457031157,-0.454211993,0.649676252,0.827531838
hsa-miR-219a-2-3p,20901.2817,2.130413484,0.317468307,6.710633598,1.94E-11,1.99E-09
hsa-miR-219a-5p,15967.20006,1.341739316,0.355598109,3.77319024,0.000161173,0.002208074
hsa-miR-219b-3p,4.470614292,0.428675961,0.511160702,0.838632467,0.401675585,0.685963985
hsa-miR-219b-5p,1.510999914,0.11808653,0.708756002,0.166610978,0.867676156,0.941764701
hsa-miR-22-3p,145870.9503,-0.447500585,0.186798896,-2.39562757,0.016591939,0.080882761
hsa-miR-22-5p,241.004238,-0.124758828,0.354415125,-0.352013271,0.72482831,0.868387202
hsa-miR-221-3p,3661.684447,-0.605621846,0.189061955,-3.20329834,0.001358632,0.012051746
hsa-miR-221-5p,103.5741615,-0.719677223,0.210141965,-3.424719208,0.000615435,0.006370759
hsa-miR-222-3p,1655.928563,-0.356951402,0.210459001,-1.69606147,0.08987424,0.283954164
hsa-miR-222-5p,1.923212303,-0.435389078,0.639664215,-0.680652549,0.496091368,0.752374731
hsa-miR-223-3p,328.7626166,-0.329510573,0.386564697,-0.852407309,0.393988065,0.682369296
hsa-miR-223-5p,8.630070733,0.273437376,0.458307559,0.596624191,0.550758317,0.777875148
